State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"(0, 0)",-35816.06430027242,-50432.72963328019,-46100.93631140092,-46240.50932378829,-46492.82294192462,-46492.82294192462,-46492.82294192462,-47100.31122912009,-47585.35883040111,-48840.85559618254,-49476.565535298156,-49663.78423545575,-51024.359922543525,-52241.78231626351,-52241.78231626351,-50356.09532877251,-50356.09532877251,-50356.09532877251,-50356.09532877251,-51019.11630092296,-50794.18369487159,-49670.94582467897,-44279.140133394845,-41184.87851197419,-40976.35639246773,-40976.35639246773,-40655.17989040017,-40293.239612000805,-40287.44035666801,-40287.44035666801,-40940.37819556369,-41284.61589304266,-37766.709258856645,-37173.8984166958,-37173.8984166958,-37059.11449549227,-32108.062448730674,-31434.180855913342,-31534.070678009622,-31379.741835143293,-31379.741835143293,-31781.075954210974,-34245.49161022601,-36374.840504842614,-36374.840504842614,-37097.96795351921,-37097.96795351921,-36669.36986003201,-35267.61094766001,-32551.3876233,-32551.3876233,-20947.747639
"(0, 4)",-35816.06430027242,-46038.24262162073,-45820.68584185329,-45891.57679281987,-46009.72837776417,-46009.72837776417,-46009.72837776417,-46185.45871633194,-46589.05234510163,-47106.36801007221,-47106.36801007221,-47106.36801007221,-47439.13791964818,-47965.93424795395,-47965.93424795395,-43616.460137446375,-43382.99647532731,-43382.99647532731,-43382.99647532731,-43786.31190854432,-43881.72877864594,-43041.43548482658,-41184.87851197419,-40976.35639246773,-40375.522550031674,-40375.522550031674,-40293.239612000805,-37718.19097224476,-37718.19097224476,-37719.521143595724,-37748.650128404275,-37766.709258856645,-35373.90156300001,-32067.986202140724,-32040.79693523454,-32040.79693523454,-30411.01805226402,-29608.481829569064,-29815.70847610561,-30590.388527404837,-30609.744132889948,-30777.740656541784,-31751.023741312907,-31948.968026195238,-31566.457581055263,-31818.657980382,-31818.657980382,-31818.657980382,-31555.00631829,-27569.48109825,-20720.26777275,-16300.996188750001
"(0, 8)",-35816.06430027242,-45804.784078120734,-45548.99558510214,-45431.62755735193,-45714.34941540342,-45714.34941540342,-45714.34941540342,-45810.88001608348,-45964.03925401843,-46871.29170643217,-43784.489562991555,-42868.30353000744,-41956.732837325864,-42192.29453356619,-42192.29453356619,-42000.453128832734,-42000.453128832734,-42000.453128832734,-42000.453128832734,-42328.616841862706,-42328.616841862706,-41333.8992428596,-40665.682092849645,-38588.896416351505,-37710.99139675754,-37710.99139675754,-37718.19097224476,-37718.19097224476,-33908.221710072205,-32655.486495360976,-32655.486495360976,-32872.1870534107,-31995.10115227673,-31703.560952820757,-30354.617023165618,-30249.003788957016,-28248.45027799303,-27390.653000132028,-27682.25064455992,-26716.988270908692,-24371.26261507147,-25056.060028197993,-25663.418035795872,-26570.59757604641,-28515.392605330657,-30096.038808583886,-29931.94629916736,-28133.258374821606,-23463.587980014003,-19927.85384044,-16758.1981112,0.0
"(0, 12)",-35816.06430027242,-44742.96908823818,-44640.04529304739,-45007.5447702747,-45007.5447702747,-45007.5447702747,-45007.5447702747,-44948.75518690706,-42412.25019054175,-41008.91164838086,-41180.07702161139,-41271.22951827037,-41172.02694471281,-41417.783111686935,-41681.89283900937,-41469.51931246046,-41264.73975115116,-41264.73975115116,-41264.73975115116,-41463.298413602504,-41287.761046004176,-40479.246301925115,-39420.7979868515,-37710.99139675754,-36569.753125695766,-34421.66576371377,-34572.357007723316,-34203.4974453722,-32546.14321678878,-31715.633106237587,-31788.684263162075,-31788.684263162075,-30963.016706703464,-29852.200337527516,-27842.533594975095,-27378.11666215637,-23896.78219880975,-23023.31449847918,-22698.123146125516,-22530.38817093976,-22530.38817093976,-23344.066495381692,-23776.004400330097,-24211.330531714193,-26570.59757604641,-27559.351099407348,-25395.385804559686,-21288.576949166803,-18026.060402896,-16758.1981112,0.0,0.0
"(0, 16)",-35816.06430027242,-44355.08246902743,-44245.71397694659,-44992.74781431903,-44970.55238038555,-40436.4082073716,-40436.4082073716,-40437.45493061036,-40444.129210794184,-40650.87807423041,-40752.16358853508,-40815.46703497549,-40699.06770948175,-40803.39269425161,-41021.61852070327,-40909.643322763965,-40548.864514508736,-40548.864514508736,-40139.101501264566,-40470.505101345785,-40105.46139149157,-39117.457555374,-37417.5628021596,-36243.84842376785,-34219.70018619768,-33686.08146734709,-33783.49483289888,-32546.14321678878,-31715.633106237587,-31168.515584864123,-31423.42847853963,-30530.119595711923,-28798.53115174576,-27218.027373073128,-24720.002485465277,-22781.099017670018,-21107.574245960423,-21106.201404853786,-21473.289209019345,-21387.82391691462,-20745.712396853352,-21309.87068427686,-21616.31487558806,-22034.699874793714,-22034.699874793714,-22615.58348260266,-18445.879999667122,-16178.259637321602,-13406.55848896,0.0,0.0,0.0
"(0, 20)",-35816.06430027242,-43903.01135105727,-41972.247838172,-40453.89504495548,-40436.4082073716,-40436.4082073716,-40436.4082073716,-40437.45493061036,-40444.129210794184,-40498.9498027734,-40498.9498027734,-40498.9498027734,-40365.53786496784,-40343.8106008973,-40343.8106008973,-40224.80428357884,-39784.31412400433,-39784.31412400433,-39547.78920583085,-39317.110231952116,-38594.059314013706,-37128.06757869769,-36693.82474350483,-34092.301103483675,-33582.704772627665,-32827.248088594206,-32546.14321678878,-32213.939172568305,-31277.939089138818,-30316.00633320223,-30094.507764819544,-28237.267837220705,-25992.21457912047,-24153.49538819148,-21887.466999096305,-20547.01897123573,-19706.18605914869,-20151.076960807673,-19637.850188191536,-19997.7546475512,-19722.804500566483,-19899.4749657181,-20084.093919032057,-19942.774878765456,-19463.568072266866,-16228.412381263264,-12120.13631040576,-9384.590942272,0.0,0.0,0.0,0.0
"(9, 0)",-35816.06430027242,-45729.89184451006,-45556.74676120003,-45714.34941540342,-45714.34941540342,-45892.574818719004,-45892.574818719004,-45892.574818719004,-45892.574818719004,-45933.004363816246,-45933.004363816246,-45933.004363816246,-45955.46168558716,-45955.46168558716,-45955.46168558716,-45791.95086010895,-45791.95086010895,-45791.95086010895,-45791.95086010895,-45685.84128391906,-45090.03489495746,-43908.753040452764,-41184.87851197419,-40871.384499764514,-40293.239612000805,-40293.239612000805,-40293.239612000805,-39242.73981443494,-37675.68900108532,-37675.68900108532,-37675.68900108532,-37675.68900108532,-34589.434754152644,-30712.73926033791,-30712.73926033791,-30712.73926033791,-28619.754477748764,-28290.768080226127,-28779.575243422867,-28692.394732232213,-28692.394732232213,-30357.749347412184,-31533.475506638577,-32478.30610012114,-32478.30610012114,-33401.60449325618,-32957.71144149548,-32680.999233257033,-29392.749720879998,-16758.1981112,-16758.1981112,0.0
"(9, 4)",-35816.06430027242,-45027.682941839914,-44669.79676402382,-45431.62755735193,-45714.34941540342,-45626.48441127933,-45626.48441127933,-45649.99568161672,-45708.77385746018,-45895.3441862965,-45849.780874942604,-45849.780874942604,-45843.175076732616,-45711.68035312245,-45711.68035312245,-45591.27459264271,-44788.56952277776,-44537.72418844497,-43701.57307400232,-43182.625740013245,-41521.70933833677,-41184.87851197419,-41184.87851197419,-40340.34987855315,-39681.71687096557,-39274.03504360873,-39673.621554239595,-37675.68900108532,-37669.103970632124,-34689.299379830336,-34689.299379830336,-34689.299379830336,-30624.175970372988,-30245.372143947327,-28375.903678385006,-27286.491240077234,-26397.649081629545,-25924.369331980397,-25924.369331980397,-25803.24209339119,-25803.24209339119,-25803.24209339119,-26170.70616782202,-26762.761416940513,-26762.761416940513,-28224.531937391956,-24543.475179069086,-19223.22974702499,-16087.870186752,-13406.55848896,0.0,0.0
"(9, 8)",-35816.06430027242,-44245.71397694659,-44186.03190395786,-45007.5447702747,-45007.5447702747,-45026.44371990757,-45026.44371990757,-45046.737825853124,-45046.737825853124,-45178.66573159527,-45178.66573159527,-45178.66573159527,-44789.340459952866,-44653.4222054547,-44653.42220545469,-43959.75741746895,-41109.71715902871,-41109.71715902871,-41091.25587092729,-41065.17621676015,-40811.057090204515,-40250.324957550016,-38588.896416351505,-37703.654566528196,-37674.3072456108,-37674.3072456108,-37682.19309480867,-34689.299379830336,-34689.299379830336,-32829.61036872924,-31108.296677758226,-30808.100524375408,-29156.3513494899,-27862.51705187605,-25808.970545840224,-24823.95674968222,-22463.41825176124,-21598.180481706448,-23219.679808168934,-20301.21514530828,-20004.88364427823,-20873.18158540469,-20373.279234862483,-20653.26321982639,-20379.958344073435,-19359.621720369843,-16065.082798288164,-12185.409513513601,-6703.27924448,0.0,0.0,0.0
"(9, 12)",-35816.06430027242,-44017.16473894815,-43102.967786954425,-45007.5447702747,-45007.5447702747,-44858.61505688274,-44606.87206234549,-44606.87206234549,-44793.70396715955,-44989.43474087124,-40872.73561947467,-40570.978957222556,-40554.09903534975,-40531.57254399051,-40537.34043902018,-40753.83284141435,-40768.84250942964,-40768.84250942964,-40575.91187762721,-40383.388650745044,-39644.945114855575,-38736.87535081392,-37710.99139675754,-37703.654566528196,-34989.968733039466,-32297.25768927319,-32362.53343399459,-31628.09430281783,-31076.37375421704,-30707.806431628705,-30107.07106243443,-27114.741208170588,-23121.39194934392,-21573.236791072577,-20316.31595897767,-19393.503909945422,-18142.775313132348,-18561.287484637163,-18533.106009616604,-18387.457615362822,-17497.226358560387,-18484.092183152457,-18871.81383663184,-17807.41671585473,-15452.694216053205,-13367.42995538933,-8085.914358179842,-2681.311697792,0.0,0.0,0.0,0.0
