State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
"(0, 0)",-27193.760097001657,-76375.90386945753,-75315.53232491393,-76712.32677616217,-76210.14531564349,-76443.37188188186,-76174.57166600908,-76828.5631001623,-77257.58616369538,-77598.95458173438,-77519.06604759056,-77591.46494799356,-77436.89813739769,-77232.03579205545,-77676.04114039055,-77696.5855343932,-77528.54763834912,-77649.70969651373,-77577.84869303639,-77783.39652376773,-77603.10408331775,-77689.82821914897,-77807.1536071502,-77834.55421988957,-77467.53663279198,-77853.2320898422,-77506.08899347493,-76750.41930439264,-77459.4094290293,-74747.67421983775,-73390.30115968823,-69590.2210473801,-64583.966337732374,-58651.24910791043,-60488.11256747826,-69981.41298713158,-75343.10485982559,-77416.9253979777,-77886.07121469331,-77893.2768168914,-77893.28195867143,-77893.2718659186,-77893.21949978596,-77893.11161890437,-77893.17232183005,-77892.3559302451,-77891.10938063974,-77890.91911005409,-77881.25664519328,-77809.93136153827,-77288.9582305277,-76923.86995677909,-76041.69780316859,-75029.76675393831,-74006.02866397343,-75327.24976611561,-76640.90339543346,-76818.9411133604,-77107.71334503045,-77219.19075801516,-77454.87029979692,-77770.37454721206,-77752.6518468754,-77756.14099215558,-77716.40356382092,-77703.84735408411,-77837.34721566433,-77857.34460070041,-77838.7333193001,-77793.06159008837,-77691.93754020554,-77746.81137219959,-77798.74928037678,-77690.9696016183,-77587.80817394341,-77723.41942136927,-77383.6974452997,-77839.94965816145,-77540.4105438421,-77027.07416221792,-77095.77718610964,-76132.91098893461,-75218.06027662488,-71509.43808112048,-68976.70214249514,-61422.491800058866,-59971.54012576092,-68843.16731469006,-74057.15862584609,-77495.23024668866,-77856.55366682474,-77892.49856771556,-77892.99369567455,-77892.68266137979,-77890.61785807008,-77873.33272251496,-77889.40397990066,-77855.75059737329,-77695.07039554023,-77062.1553219412,-77313.19856942,-76778.00484756657,-72543.50238897945,-63669.35555387929
"(0, 4)",-27193.760097001657,-76198.28592114635,-75161.24137992617,-76539.15977916504,-75998.37210500626,-76330.22599662472,-76021.21419963536,-76736.5601148132,-77203.41125914217,-77530.20689222416,-77481.14549299797,-77552.39208938167,-77369.95242720481,-77192.72488884376,-77658.28110264124,-77643.86361438363,-77504.41074731977,-77615.16680836698,-77534.11790434504,-77772.17351580443,-77580.90375906875,-77672.12435299878,-77783.44811783465,-77832.13184747794,-77454.49431791734,-77850.824101203,-77482.81176996262,-76661.04421848866,-77363.19788003169,-74688.72274684986,-73256.53215408187,-69313.08170506152,-64122.71963252787,-59017.73075913655,-60359.45300979074,-69749.55630175177,-75236.57008881267,-77400.04384131964,-77885.63250613853,-77893.15088713643,-77893.26759255283,-77893.2420696194,-77893.10066342336,-77892.62948614563,-77893.05570692294,-77891.36100267351,-77889.11623421065,-77890.16176027643,-77878.1814350861,-77805.6744234994,-77258.09542974578,-76876.62242719177,-75865.3970466875,-74855.03531666001,-73835.15667284053,-75203.38583556016,-76469.12253465426,-76646.04452848906,-76941.74185558523,-77101.23862851298,-77401.54872245117,-77729.79719480382,-77698.66313700692,-77737.42800731576,-77664.1304421046,-77665.77671492928,-77782.3877443879,-77846.85906309055,-77829.54452908185,-77702.95773556786,-77660.32419925621,-77697.13871247772,-77773.09554666396,-77662.29344974135,-77514.88357898113,-77710.7187492331,-77374.02879557412,-77819.63142757502,-77471.95604114862,-76971.92981104161,-77028.6366440596,-76002.24450980201,-75204.7348499897,-71416.78605606571,-68258.65314463979,-61174.55110376741,-59516.75794351225,-68259.1627004729,-73594.23328157996,-77236.55693449729,-77844.09010559689,-77888.45219772865,-77892.3449125885,-77891.74218742203,-77886.88686574847,-77856.16592134128,-77888.37615813145,-77846.0402867851,-77665.73842340222,-77013.07998136817,-77309.64823988255,-77081.10049190978,-71711.97074983022,-58694.43193642239
"(0, 8)",-27193.760097001657,-76006.9903082041,-74846.76453129377,-76301.53710745912,-75873.06149114012,-76202.98634249532,-75875.1362204018,-76493.9722327905,-77149.27345068166,-77489.75881488032,-77430.4933969366,-77391.91663450807,-77344.67719947067,-77159.42082991819,-77638.29133111476,-77635.97608074587,-77492.45262801433,-77604.62542045006,-77518.37105467971,-77757.06450163944,-77568.81281165795,-77655.99772018944,-77778.51860832148,-77830.07369139571,-77428.795608158,-77846.893956099,-77444.82036729045,-76512.8243437065,-77261.38530054958,-74571.56054430612,-73167.28632836054,-69117.15564208466,-63876.71748080565,-58769.79923422198,-60131.4407616366,-69484.18349190628,-75197.29366444083,-77400.38421524286,-77883.80695680898,-77893.12420072618,-77893.26937229758,-77893.23126514637,-77893.05590203508,-77892.78802373931,-77892.94370520947,-77890.79772214386,-77885.2896532432,-77889.95933838871,-77876.7138764003,-77797.16258312186,-77196.38458700861,-76801.91021505003,-75716.34214534602,-74647.12901009075,-73436.85870151108,-74914.52567396157,-76123.30545004328,-76497.51627051782,-76996.77643897932,-77071.02505143973,-77346.646072427,-77703.23924406576,-77678.79634303997,-77550.66101394946,-77612.92005884631,-77604.47512368401,-77759.50691669752,-77842.83928093746,-77824.85769621437,-77737.50923076624,-77653.34230431274,-77689.87839042676,-77771.47936773222,-77660.42348910093,-77524.5565886616,-77710.56844129333,-77372.57581882288,-77819.54545578809,-77469.55871683004,-76967.67673617086,-77028.17983433059,-76002.06090828685,-75203.40373900476,-71397.48494678394,-68107.76562101874,-61116.441675152644,-59413.90908466844,-68110.29665466477,-73431.42324951025,-77158.54481501441,-77843.42332151906,-77890.81012490754,-77892.48443022779,-77891.72387193594,-77886.81098730613,-77855.72582100375,-77888.36458616001,-77845.70469961302,-77663.30338713102,-77155.80427563701,-77188.45919049025,-76460.70544862079,-68974.40105008915,-45661.58207112068
"(0, 12)",-27193.760097001657,-75711.12286962642,-74579.8885343014,-76120.52785391695,-75686.603104296,-76063.4198664984,-75771.87446588642,-76234.29197950484,-77062.52462124942,-77379.38881449855,-77378.52533012768,-77322.45262364655,-77321.9323137705,-77132.05341761744,-77636.36612107523,-77624.80986251657,-77444.51834261793,-77603.12158188246,-77509.52865147585,-77756.8091716675,-77566.96166936144,-77654.85066812266,-77776.86035922458,-77829.57105855594,-77420.89953973496,-77845.99099711253,-77436.09176375465,-76454.2847645683,-77231.1211474103,-74493.72332272446,-73104.46462909857,-68963.76473347348,-63641.16005423864,-58540.951521924595,-59911.581746664495,-69269.97349436184,-75083.15698196997,-77375.35734165907,-77883.87703313224,-77893.24968076385,-77893.2682971732,-77893.22684493924,-77893.03758974836,-77892.74837469797,-77892.92196611084,-77890.58757752372,-77884.75256208351,-77889.586976972,-77875.40331578141,-77789.5613315323,-77141.27551298418,-76728.29026435876,-75460.36807446326,-74548.55453234725,-73197.13744261494,-74778.42069944972,-75983.66266421284,-76511.38256479504,-76838.51809710517,-77049.90082214192,-77328.89801628055,-77700.33882984467,-77679.6614013956,-77569.19434054836,-77618.46455352496,-77617.83518499896,-77790.19859920102,-77842.48589309028,-77824.6925006032,-77737.44040982684,-77652.84944940225,-77689.458676902,-77771.1935581016,-77659.64983494402,-77523.95519742186,-77710.53750420731,-77372.5728542785,-77819.54545578809,-77469.55871683004,-76967.67673617086,-77028.17983433059,-76002.06090828685,-75203.40373900476,-71397.48494678394,-68107.76562101874,-61116.441675152644,-59413.90869462072,-68110.29469504596,-73431.41804146676,-77158.52593585677,-77843.39111589722,-77890.81012490754,-77892.48443022779,-77891.72387193594,-77886.81098693566,-77855.72543486443,-77888.34703563039,-77845.49871541094,-77663.29236329757,-77042.92311633175,-76860.66075392878,-75147.31845062578,-62611.01314417358,-37603.65582327586
"(0, 16)",-27193.760097001657,-75589.93587151398,-74524.4239842094,-76075.18904898726,-75642.9385916512,-76030.21157906132,-75748.26709749126,-76217.20349877934,-77046.96677382858,-77351.52863424839,-77343.88927738814,-77228.04762792448,-77312.3707708679,-77124.92861441628,-77629.85575699808,-77606.75756102517,-77377.87176359651,-77602.66830739437,-77508.96070740503,-77755.70202490922,-77565.26205694689,-77650.48228228466,-77776.64268254882,-77829.19719594876,-77419.85505593085,-77845.16933870461,-77428.1490658115,-76393.87230947864,-77223.19913197476,-74440.85596613787,-73081.4297912275,-68859.56142297082,-63463.06254087286,-58336.43344817743,-59683.533802449754,-69132.23472409067,-74913.72526785046,-77310.54619814806,-77881.90701248789,-77893.2536276916,-77893.26971597542,-77893.23999926749,-77893.10117028002,-77892.73126844213,-77892.9091239481,-77890.54700799886,-77884.64678190614,-77889.57819301382,-77875.36085998354,-77789.31508790469,-77139.7795939713,-76728.19739269679,-75460.0314146885,-74548.06348411391,-73195.73660815138,-74774.84726320498,-75979.39326434139,-76508.0074701872,-76836.66799941794,-77048.51585737627,-77328.6691171426,-77700.48785080608,-77675.14348193895,-77547.58897231873,-77621.4447791775,-77622.81169901507,-77788.56006138367,-77841.9281318272,-77824.69180464312,-77737.43872792338,-77652.84944940225,-77689.458676902,-77771.1935581016,-77659.64983494402,-77523.95519742186,-77710.53750420731,-77372.5728542785,-77819.54545578809,-77469.55871683004,-76967.67673617086,-77028.17983433059,-76002.06090828685,-75203.40373900476,-71397.48494678394,-68107.76562101874,-61116.441675152644,-59413.90862285849,-68110.2941906158,-73431.41758193352,-77158.52371477941,-77843.39111589722,-77890.81012490754,-77892.48443022779,-77891.72387188484,-77886.7893613874,-77855.71767339288,-77888.04012271047,-77842.33203057462,-77586.38609604843,-76695.06625700694,-75820.36213640108,-71617.63389914764,-57794.78136385253,-37603.65582327586
"(0, 20)",-27193.760097001657,-75548.41991982232,-74460.11726192618,-76028.72156550224,-75588.71157331423,-76014.35674726355,-75721.45589284677,-76193.00890711896,-77042.3600971735,-77349.91312920429,-77332.54381161138,-77225.00715483571,-77314.91605648994,-77121.1224734019,-77629.76539300522,-77606.23344986662,-77377.09307011176,-77600.55211770594,-77499.27991832377,-77755.4315776234,-77564.41201069746,-77650.35425381527,-77776.44888296306,-77829.17372550842,-77419.82672287906,-77845.16933867321,-77428.14906550782,-76393.87230507526,-77223.19913156095,-74440.8559601531,-73081.4297912275,-68859.56140663373,-63463.06252592108,-58336.43344817743,-59683.68420085241,-69132.78037872861,-74913.7257674889,-77310.54697723775,-77881.90952288805,-77893.25365115024,-77893.26979156435,-77893.24219134694,-77893.10116772316,-77892.73125419294,-77892.90911020251,-77890.54690834339,-77884.64605940391,-77889.57771846004,-77875.35856630706,-77789.30178458114,-77139.3937975882,-76728.19739012588,-75460.0314146885,-74548.06348411391,-73195.73650075393,-74774.49750835824,-75979.30448203693,-76507.9876099639,-76836.64292599919,-77048.47819720149,-77328.59893396494,-77700.48787558955,-77675.14356179678,-77547.58974427778,-77621.46716599006,-77622.81169901506,-77788.56006138367,-77841.9281318272,-77824.69180464312,-77737.43872792338,-77652.84944940225,-77689.458676902,-77771.1935581016,-77659.64983494402,-77523.95519742186,-77710.53750420731,-77372.5728542785,-77819.54545578809,-77469.55871683004,-76967.67673617086,-77028.17983433059,-76002.06090828685,-75203.40373900476,-71397.48494678394,-68107.76562101874,-61116.441675152644,-59413.90861994429,-68110.29416948782,-73431.41758193352,-77158.52371477941,-77843.39111589722,-77890.81012490754,-77892.48442944986,-77891.72202036717,-77886.78637427276,-77847.32575202391,-77884.25977644866,-77800.97446035911,-77268.59594870088,-76178.82643914598,-73871.55788254614,-69104.85980768537,-53534.268635107,-37603.65582327586
"(9, 0)",-27193.760097001657,-73074.44518598622,-71027.16329423038,-73587.6583491722,-73189.66378010013,-73492.16084009616,-73486.37012368653,-74942.28320945716,-75461.62268152108,-76774.79218289483,-76613.35855669936,-76703.38500072829,-76743.70999170346,-76291.34349432838,-77297.03488900492,-77035.00428340764,-76699.62305522803,-77038.21243397813,-77051.18945569982,-77607.52469190153,-77422.65697544858,-77137.12367214104,-77650.7811130745,-77544.83886785245,-77041.53548621412,-77597.69113220237,-76546.27854267095,-74515.76273994196,-74736.88154725646,-71785.358133257,-66605.82054965259,-58152.494273065015,-49911.9690513534,-45648.35321956103,-47821.42093853648,-60868.697792640545,-70512.1241042308,-76118.90312070661,-77750.83071243922,-77893.06803591312,-77893.20333310259,-77893.16277467509,-77892.57032738281,-77891.50318738954,-77891.62935463256,-77882.71699678065,-77873.11252147342,-77834.87019344463,-77718.63218910793,-77300.7044028155,-76316.05032185762,-75112.04727011967,-72877.63594204142,-70128.0750769752,-69334.6077442703,-72288.04788283604,-74119.19934468008,-74792.3135332144,-75554.49238362581,-75940.50765083812,-76545.08395861302,-77380.19831036679,-77311.49596508798,-77064.76329782554,-77328.44517519306,-77262.57320523133,-77676.60759083617,-77707.97533437208,-77590.33633920597,-77432.75119317566,-76964.86550435706,-77474.29746701456,-77494.86548235065,-77106.83879758307,-77277.23281605936,-77335.02734802848,-76973.72935173217,-77429.90903283883,-76699.37885534036,-75351.0598027791,-75057.78359144847,-73954.87468102651,-70622.97728455589,-63930.23485702338,-55005.06435011872,-45183.891660800735,-48018.744374528455,-58358.06088675621,-67727.21106163523,-75644.95511616771,-77454.43822084788,-77884.667714606,-77889.28117779364,-77887.92715603235,-77868.81916534297,-77789.79298988252,-77844.12903088855,-77655.82370272512,-76964.54437197118,-75138.39085398993,-74667.5084658402,-70853.20898766106,-56249.67217647205,-18801.82791163793
"(9, 4)",-27193.760097001657,-72511.20993024866,-70633.06310244733,-73231.88186983574,-72894.7820725826,-73228.20172924406,-73299.7027527069,-74758.66143502692,-75292.84856931694,-76570.27160103581,-76426.14969435893,-76520.68103097224,-76502.96875694563,-76142.9887488797,-77132.06211340004,-76875.44474627388,-76571.06245763185,-76899.00735560879,-76924.09560022445,-77419.19678051294,-77297.10108371815,-77041.28232602368,-77598.35024280152,-77382.78390162493,-76997.3713160264,-77285.64642070243,-76088.7865700496,-73988.0784273964,-73503.9471038544,-69248.12015572542,-64982.27207316608,-56954.17178864108,-49124.91212176384,-45427.41183990061,-47717.39559885195,-60713.986129391604,-70373.49001945094,-76084.91596490721,-77737.41750049988,-77892.0475389785,-77893.01990323699,-77892.81241979385,-77891.16868068383,-77888.5390656324,-77886.96873796474,-77870.55159467379,-77854.11464069005,-77785.09123474165,-77584.00911640847,-76980.23452554463,-75626.64732506608,-74485.96784705317,-72700.39184103225,-69611.44093916289,-68885.16851398829,-71824.69995554085,-73677.48480449503,-74546.88291557838,-75268.54290234279,-75697.69359743704,-76393.79136879023,-77270.01819801333,-77143.40062329028,-76920.32734982448,-77128.37758640377,-77009.89583128257,-77629.83480135725,-77637.04157570936,-77475.05120473605,-77254.51431833542,-76836.2023276538,-77322.33497475526,-77314.48639703906,-76843.49092115364,-77052.52565194169,-77108.94830169306,-76917.82709053237,-77203.90209396937,-76224.8356605565,-74630.58208137499,-74189.14700696859,-72466.99789723272,-68049.68270323408,-61298.23188978378,-53534.977925828956,-44136.16849574864,-47616.334948336,-57456.49825065387,-66872.13783855079,-75300.03816675987,-77397.72181959561,-77861.00944850365,-77884.64690792166,-77883.48807647837,-77843.65692138107,-77721.4014022044,-77793.76495600182,-77477.12223383375,-76681.89874036865,-74815.20083350908,-73453.2018816333,-68878.4665650909,-54228.56914000051,0.0
"(9, 8)",-27193.760097001657,-71982.7454033973,-70234.27869546291,-72928.28045272661,-72625.96304801936,-72995.147938007,-73007.55571244955,-74598.76980949714,-75138.83220724338,-76403.22307085447,-76256.51327020371,-76267.65200270285,-76387.18175405133,-76009.56617649905,-77029.63458783104,-76826.23172958106,-76528.82548788977,-76820.9661090885,-76812.66080877485,-77404.389144019,-77181.67766277614,-77024.75090105632,-77492.5254500238,-77359.64399100539,-76989.08220915994,-77324.39198903143,-75832.2126822437,-73870.16989296146,-73347.36242979398,-69037.67567048359,-64043.97131005479,-56286.61638699248,-48534.1514289548,-45012.6940275398,-47490.666154754916,-60598.60902941817,-70223.46400975506,-76022.02687212023,-77734.34853425076,-77892.22130769056,-77892.83294484836,-77892.88564133768,-77891.82151197919,-77887.08244777833,-77888.57747357723,-77866.84597897703,-77853.08582919977,-77778.98849033241,-77562.91886228349,-76905.91031443588,-75488.52877775957,-74285.75266064795,-71630.74816935945,-69001.93256931182,-68445.62507520254,-71458.1455926537,-73372.86827957675,-74299.14525882965,-74884.36621025456,-75485.65147720369,-76090.9219401533,-77138.51464079026,-76998.04449763679,-76852.16841924062,-76940.4943926029,-76865.35718776581,-77523.73104728406,-77577.87506437009,-77435.511694986,-77134.72799895937,-76713.9467548466,-77295.590256531,-77337.89205745097,-76825.6662085646,-77015.73821297496,-77055.91892002223,-76902.02242377622,-77200.11168279655,-76181.00199534588,-74620.81649373725,-74159.97479396925,-72454.30121963679,-67964.95290108037,-61149.59139764038,-53309.90709639657,-43844.04621206426,-47133.721316622315,-57361.64498655028,-66674.7694920492,-75173.89040066204,-77393.93003949942,-77870.54753534762,-77880.68661546241,-77879.38986999102,-77833.00788677156,-77725.42911203724,-77782.02314679277,-77447.92672654145,-76672.8891459257,-74744.58810916124,-73244.72010485527,-66624.14303939705,-41356.78324829071,0.0
"(9, 12)",-27193.760097001657,-71282.70142942805,-69620.90339851502,-72466.4823373121,-72267.19616528745,-72628.22932887095,-72582.73678127027,-74004.34644182498,-74956.69963492881,-76171.04685006617,-76171.77055710301,-76195.36907903604,-76315.22921368302,-75896.70994761404,-77006.87939985294,-76779.7135229282,-76507.78826247306,-76759.64647785673,-76812.96115755438,-77401.55532881421,-77168.47620673683,-77015.23669784614,-77486.07265836022,-77356.30530973633,-76982.40192523006,-77309.86357471575,-75758.69063763342,-73714.35816325949,-72861.58471584698,-68889.1667442264,-63601.47243143406,-55681.43169036747,-48010.15045028695,-44671.518806239794,-47237.20774887318,-60231.78003167291,-70032.08240197007,-75985.33299575944,-77703.3314537841,-77891.65367296054,-77892.98200169786,-77892.86330314458,-77891.70534079584,-77886.59104050524,-77888.1941995109,-77863.49123736945,-77849.13999985509,-77771.38684922522,-77506.63056349177,-76738.00586464355,-75274.12240410558,-73805.5721360898,-70893.77700746678,-68190.69061467248,-68055.04393160023,-70979.30991726583,-73146.12026333729,-73831.72581808941,-74550.16387412781,-75384.84647949533,-76031.16618484585,-77087.61253035802,-76975.07011323367,-76830.64010242066,-76948.46283627833,-76892.24214743974,-77512.22703107065,-77610.73962787753,-77431.0483536467,-77132.43589400628,-76707.36103332353,-77294.45601353054,-77337.0750822297,-76823.84293139153,-77013.51765881585,-77055.69109133462,-76901.87557842779,-77200.02571100963,-76178.50881352511,-74620.67472520069,-74159.97479396925,-72454.30121963679,-67964.95290108037,-61149.59139764038,-53309.90709639657,-43844.04621206426,-47133.72092234625,-57361.643114084356,-66674.76328835035,-75173.86374773362,-77393.93003949942,-77870.54753534762,-77880.68661546241,-77879.38986999102,-77833.00772700387,-77721.75852145525,-77781.99119832403,-77447.71816778161,-76663.6245398656,-74832.67785829937,-70869.00039658276,-62019.636972351764,-29916.20894314805,0.0
