State,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"(0, 0)",3846251.264336416,3325266.213299344,2847877.4582752544,2479625.633907528,2297682.3905771035,2385099.06637186,2762255.397229457,3166782.4958426524,3752720.830248127,4102400.1805627663,4308639.239148922,4255067.665747315,4012839.3561483775,3633356.9480663384,3172497.2758863484,2814733.618800391,2427805.344190864,2096472.7233454336,1768081.482856518,1413049.966086517,1070580.7085162234,684810.7111522292,350849.3013135178
"(0, 4)",3552208.4362840657,3036426.1416627276,2563449.8973795692,2197969.2537666755,2018061.820421139,2103205.441981129,2472160.480614013,2870229.5985280005,3450781.3599370364,3798907.3761903243,4004635.1071733874,3951034.1147433133,3708817.393305589,3329700.678068874,2869378.0154878674,2511744.446672441,2125139.350728155,1798403.345831226,1478981.0468781225,1135025.257853893,807827.6909573042,450104.0245799122,151826.76422959528
"(0, 8)",3280912.2792890347,2764935.434099418,2293350.296050067,1929004.5884677952,1749077.8033564622,1828931.0285041975,2186640.9504728997,2576411.0041106697,3150144.710466413,3496452.235209661,3701877.727021401,3648803.20833884,3407178.7394265127,3035360.4908172893,2585337.157836008,2237200.1092338995,1862322.0273152299,1542625.5914963277,1222616.8776757105,883535.6481201728,567519.6430944488,254002.845580268,24980.800732799642
"(0, 12)",3018598.430249489,2506336.127077147,2037584.60946756,1675600.3128198644,1501864.7662286968,1578759.4555900656,1917324.3214736416,2293361.776716033,2858620.5789130926,3208572.721931981,3421183.4202814572,3377235.4948785626,3145312.6339183664,2776384.468998051,2327900.922152051,1979477.8819954295,1607195.28353908,1290797.8084997698,973021.1330032268,649028.8843052469,360142.1255340762,112118.21553415511,2294.048566512645
"(0, 16)",2761370.4049479067,2253617.47771721,1791958.998830081,1441426.4797324815,1285563.9611305736,1363728.54117886,1688050.3265993132,2054206.101739648,2607088.917892798,2952223.0244579967,3162626.5320743727,3118312.735772235,2886438.2342685084,2518168.5263883094,2071987.5466307683,1724046.4799654924,1357030.6032192782,1045709.4991435559,735105.4007910171,436323.49514224404,194860.59669988256,26709.965759381776,2294.048566512645
"(0, 20)",2508838.8641155562,2005095.7064766597,1553067.3662236924,1226096.0768236672,1087848.021101352,1165052.397681374,1472204.0504917754,1822420.8498487552,2359015.764765769,2697458.1994395196,2904652.7090741596,2859747.1698492565,2628120.3324859487,2261494.2270960556,1818674.7578713843,1472424.197003166,1114395.5900249414,812588.9382408261,520101.8172258667,262511.6759088639,82063.91500917393,3376.3427073997977,2294.048566512645
"(9, 0)",3199873.3326381296,2700465.8004602706,2270542.0267375554,1967972.2312513634,1861265.8378541728,1930450.112616759,2210779.8810094753,2546907.8448073296,3083055.5242376425,3421104.633004872,3624691.5902951914,3570957.4632836673,3328764.200989735,2949491.4460465913,2490047.0308391945,2131891.411810625,1748203.2446827986,1421114.397210024,1093576.7670592456,754972.672643533,451156.32500690414,169733.91744167983,0.0
"(9, 4)",2910351.4132757466,2418716.206524907,1993597.175695466,1694962.5395665239,1589886.4267578458,1656961.6636010488,1929598.636514307,2258197.436786977,2785171.5466097086,3119751.2131871707,3321080.6183275147,3267088.41825921,3024981.2338376692,2646519.3663595472,2188991.6906547183,1831161.1026022283,1451298.2788462886,1133649.2343357508,819830.5986208211,511709.02683808457,251789.69100520323,52248.05832813225,0.0
"(9, 8)",2639637.654810475,2149240.043965157,1727964.909899125,1432813.1057799978,1329617.8288527147,1392616.3352058341,1655057.0494065306,1973879.7088440887,2490004.3180215308,2819797.7787466436,3018887.682147128,2965066.157590205,2723548.6635459876,2353657.6416262756,1909602.2807553336,1562344.847720727,1200631.247063573,894828.3382715423,594407.1197720944,319196.71934482915,112497.29435275907,3236.7920891017648,0.0
