State,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"(27, 4)",1922273.07587855,1585457.6153242749,1360979.421389135,1208919.9990919135,1151712.4470393232,1152542.2262585924,1222413.8528307767,1339936.6542641267,1614358.7234376273,1829812.0461712726,1972583.0990558704,1913106.5956771595,1677446.2180565735,1319019.306526132,910241.7790440165,594288.3506396529,331019.0641156915,149517.33178732797,38971.60560470174,2817.9635663365607,2294.0485665126466,2294.0485665126457,0.0
"(27, 8)",1657489.174634873,1322893.8335414184,1104142.995837579,960482.7455732871,906902.5875981916,907799.9366113286,973160.0397931129,1084685.969345609,1345545.9187184088,1550252.2441741165,1684599.3640236217,1622689.2994531645,1394664.4855705798,1060973.8299774204,690565.1904028321,412959.81997881556,201168.99462517773,70119.04525159173,10818.011162117318,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(27, 12)",1404965.1877740151,1079450.208355113,879729.6517431275,756053.5307702424,709859.8914033484,711437.1927895426,770672.9954732867,872610.7209852913,1110533.8535326922,1301143.741779078,1431692.108835968,1375845.3752992153,1162439.9511029588,845942.8059902415,508325.2662366554,268163.07948297844,107322.02398855975,25071.65680450666,2593.0805875192736,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(27, 16)",1171757.2561053894,886283.4030512123,706042.8571358805,590957.0497553946,548175.2012449274,549443.2108619737,603345.9851529119,696640.1512433762,916036.4968313492,1089522.300965299,1205865.2412976853,1146938.512209872,943575.2940362303,649946.1813299279,352794.27828920144,158022.6472916885,49414.44316467586,7637.949436479094,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(27, 20)",976176.0033238333,710588.381972873,543021.044047137,445757.64817012637,414933.33373981493,417411.04851461475,462151.56969324127,543961.2571845676,739497.8899098001,891714.1214556438,992507.9638459171,931503.4339788711,740197.29820701,475670.9025496698,226973.90016217536,81725.18517687294,17996.120523407757,2478.945480033011,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(36, 0)",1908566.2623302934,1657184.425152835,1486411.9094385407,1369805.4233578919,1327960.3111241686,1318484.5228897233,1334352.4663670915,1371569.4626306528,1487782.6086941997,1576243.5332673418,1631317.1925039142,1550796.3343053935,1321908.5232956386,982662.0276619887,612629.6865292779,333808.3175883909,147485.08210101534,42150.22925355016,4076.208699013572,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(36, 4)",1643031.420581397,1394588.9033798878,1226273.1547859053,1111624.134451136,1070753.2069721927,1061509.1605952517,1076717.5878534173,1112142.7179374162,1223913.976409326,1308917.8145027948,1355246.7741654525,1272551.4737185752,1052692.609870554,736256.1602102079,412436.12429605646,194998.62100001125,68332.40309960746,12394.422265939143,2294.612550644072,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(36, 8)",1380745.8675799428,1135011.620870426,972089.0920126812,867119.9511023666,829847.2448582775,821423.9867259562,835389.472642985,868610.8386031188,972927.133311694,1051161.5866282664,1093046.5450595992,1010542.2716594263,811980.4409971145,536564.0923270121,270636.8561051547,106679.39089981423,27216.530535269016,3297.1803706733044,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(36, 12)",1130932.388769318,897986.974780943,756357.5760680869,669502.3125210418,638399.1241170069,631619.1583372309,643631.5791272686,673685.8178452814,766173.8484979604,833349.2535893512,876902.9058382194,802889.8731681646,621433.6241651062,377972.36885207763,164148.76476650275,50535.7402044828,9067.452144920326,2295.4159698800277,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(36, 16)",912296.8743159745,716564.8798953169,590104.3311538614,510614.761790293,482449.7211011649,476156.7099886748,486743.207149953,513780.9168546156,597435.5653886895,657454.9832748997,690543.953563109,616886.8287528232,455066.68081889214,250199.65064010274,89155.32955839693,19803.0139105835,3069.675039404196,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(36, 20)",738381.8577363741,555434.0498278339,437060.39726360457,372244.5996783621,356374.48730409343,353014.81360134936,360281.62788331474,382973.9760725355,452335.4133202338,500139.8523838177,523618.81435294263,453738.4734325877,313342.93347713427,151385.61408420166,42194.274044807935,6858.6670289460535,2296.3390496989023,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(45, 0)",1748927.116704457,1549047.4006876345,1419660.8610748153,1330647.8394843773,1300482.046446464,1290111.7167712746,1289483.8161192078,1285232.7470572542,1283831.982982035,1249198.3746880447,1163154.9348062805,985337.6296505731,761716.6662288768,474306.3999283593,216042.21835124743,73777.68485301634,14540.988349422354,2379.80167034295,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(45, 4)",1486768.2911279036,1288475.4799913648,1160586.8122362036,1073527.9164464355,1044333.9598367794,1034434.2707737798,1033594.3251016624,1029575.7302601405,1028472.9517119862,994904.7291716915,911557.9696215126,741285.5322459426,540368.1850200046,301765.4112637157,116996.70643875409,29628.343214403943,4367.7989304656985,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(45, 8)",1227737.7628194967,1032362.9924659295,908578.1738373957,830835.7219890187,804836.9894422893,795841.628649397,794963.7554819628,791070.9011645877,789215.2624565485,758089.9327203592,683279.5039238821,536415.398483029,372528.44276161457,187272.75537307916,58322.30343358219,10376.238069718453,2351.2487144336715,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(45, 12)",979158.5282667356,799353.4742931448,697749.5905718118,636111.3215660024,615485.4793537513,608058.8584763778,606915.7439818155,603399.9920112413,600714.9693542923,573086.6666217614,510619.1968542427,384211.4067346324,246590.05457037923,105914.2469846062,24877.501530791873,3784.6112508172673,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(45, 16)",770580.7637729648,623746.1971690195,535130.1202154683,479821.56761460495,461454.41199647845,454852.9798866563,453818.0097100049,450716.8212605324,448311.2178819168,423474.39486064797,366289.0852087466,258335.34495354103,150892.93412391178,53172.569107470255,9040.652497368306,2359.0825203020527,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(45, 20)",605722.4626514738,470456.7687902861,387905.2126336658,344177.39888128976,337856.0297471492,334507.1636472194,331908.9697389503,328729.749144284,322185.5607028087,297176.96210350306,246903.47373836592,160906.26216567957,82455.80405826084,23231.957598836765,3627.0505853336076,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
