State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
"(0, 0)",-48011.02465965264,-77893.28703270019,-77893.28703043681,-77893.28704452932,-77893.28704452932,-77893.28704452932,-77893.28704590713,-77893.28704502636,-77893.28704304066,-77893.28704352948,-77893.28704166156,-77893.2870263047,-77893.28702077521,-77893.28702482901,-77893.28703117963,-77893.28703265062,-77893.28703051854,-77893.28703051854,-77893.28703051856,-77893.28703051861,-77893.28703502288,-77893.2870350229,-77893.28706117584,-77893.28706117587,-77893.28581690099,-77893.28576921926,-77893.27739469992,-77893.14204549912,-77892.19943499356,-77885.12985620186,-77892.95599522958,-77889.97638979601,-77873.50266768821,-77839.36626315836,-77846.03725025461,-77870.7895509146,-77883.41329566686,-77893.19994205981,-77893.28702212038,-77893.28702072796,-77893.28700879311,-77893.28700879311,-77893.28700879314,-77893.28700879317,-77893.28700906181,-77893.28700100371,-77893.28697805914,-77893.28697226984,-77893.28697139051,-77893.28697981728,-77893.28697937868,-77893.28699075714,-77893.28699380443,-77893.2869959106,-77893.28686659735,-77893.28696437688,-77893.28694104677,-77893.28699703475,-77893.28681768573,-77893.28695139934,-77893.28675483011,-77893.2868482968,-77893.28623696302,-77893.28698465484,-77893.28698477708,-77893.28698781958,-77893.28699392233,-77893.28700491674,-77893.28700491674,-77893.28700491675,-77893.28663062576,-77893.2865303863,-77893.28386981794,-77893.26311738476,-77893.24940543862,-77893.26404961791,-77893.24440292433,-77893.28259515298,-77893.15304209029,-77891.27675635435,-77873.1840010437,-77692.25644793716,-77817.67613603492,-77439.62150370961,-76996.43550703378,-75940.47246095169,-75817.86255623886,-77292.42295905294,-77671.35314444921,-77863.96491744863,-77892.43995930455,-77893.28703820662,-77893.28703736897,-77893.28687401746,-77893.28625471774,-77893.27898467761,-77893.23859556581,-77892.92356049368,-77891.10605046223,-77871.47694212249,-77799.81511802498,-77581.71391424998,-73219.68983874998,-62314.62964999997
"(0, 4)",-48011.02465965264,-77893.28703181916,-77893.28702821957,-77893.28704773505,-77893.28704773505,-77893.2870475307,-77893.28704304063,-77893.28704304063,-77893.28704304066,-77893.28704309759,-77893.28704332706,-77893.28702793202,-77893.28701420994,-77893.28702587303,-77893.28705042413,-77893.28703064473,-77893.28703127576,-77893.28703031442,-77893.2870277796,-77893.28702958811,-77893.2870207776,-77893.28697944577,-77893.28701166861,-77893.28700991582,-77893.28543329096,-77893.2857467243,-77893.27735595561,-77893.14146433427,-77892.19507625722,-77885.11544722848,-77892.95044669662,-77889.92090446627,-77873.30356415802,-77839.07689974153,-77845.76352969982,-77870.67518149257,-77883.36596914977,-77893.19558603781,-77893.28702072798,-77893.28702072796,-77893.28701953447,-77893.28700879311,-77893.28700879314,-77893.28700879317,-77893.28700694125,-77893.28700312428,-77893.28694454457,-77893.2869433324,-77893.2869415141,-77893.2869396958,-77893.28693751381,-77893.28695551881,-77893.28695562911,-77893.2869572624,-77893.28684111004,-77893.2869458837,-77893.28691880705,-77893.28669018699,-77893.28684785342,-77893.28691702403,-77893.2867199334,-77893.28681941604,-77893.28552300553,-77893.27576937959,-77893.28697842272,-77893.28696800928,-77893.28697488796,-77893.2869896604,-77893.28691337862,-77893.28631838082,-77893.28443418759,-77893.28473561977,-77893.28012810436,-77893.22570024876,-77893.19678093682,-77893.00092710891,-77892.59667603811,-77893.2235583824,-77891.38193897257,-77864.71020958883,-77818.81826585531,-77489.29438187958,-77728.54351652625,-76904.82578665762,-76322.14318328783,-74112.87694986863,-73643.46002920042,-76206.82443192806,-77120.6102153317,-77714.80536028203,-77884.43499670038,-77892.96250292179,-77893.28702480347,-77892.65922660795,-77890.9326779049,-77879.16075492951,-77891.86500864437,-77872.8650096815,-77791.17679840764,-77478.81590922886,-77295.96375819194,-76384.13889244442,-62441.51464249998,-23367.986118750003
"(0, 8)",-48011.02465965264,-77893.28703181916,-77893.28702821957,-77893.28704773505,-77893.28704773505,-77893.28704691873,-77893.28704304063,-77893.28704304063,-77893.28704302627,-77893.28704357626,-77893.28704332706,-77893.28702861052,-77893.28702816942,-77893.2870298396,-77893.28704178355,-77893.28703142531,-77893.2870323307,-77893.287029538,-77893.28702953797,-77893.28703880215,-77893.28703880215,-77893.28688476628,-77893.28699268593,-77893.28689601975,-77893.28456529656,-77893.28575962727,-77893.27729095453,-77893.14048931834,-77892.18776363759,-77885.04232103209,-77892.93959976049,-77889.8124351049,-77872.9130538804,-77838.44228086268,-77844.97397178534,-77870.36701857284,-77883.1367844183,-77893.19558603781,-77893.28702072798,-77893.28702072796,-77893.28701953447,-77893.28700879311,-77893.28700879314,-77893.28700879317,-77893.28700694125,-77893.28700312428,-77893.28695646132,-77893.28694363545,-77893.2869420977,-77893.28694386201,-77893.2869360241,-77893.28693317303,-77893.28694880665,-77893.28689864061,-77893.28673442044,-77893.28696055304,-77893.28692459215,-77893.28668638771,-77893.28681133856,-77893.28686057501,-77893.28667202652,-77893.28675546707,-77893.28547218385,-77893.27576634081,-77893.28697787253,-77893.2869804351,-77893.28699178415,-77893.28701274068,-77893.28700721187,-77893.28664783915,-77893.28395254374,-77893.2856988944,-77893.27888086649,-77893.27755128375,-77893.18953503815,-77893.27222046518,-77892.84180145599,-77893.18888797537,-77890.34182676174,-77849.10852642621,-77789.08138384274,-77111.74447257067,-77618.2371358906,-76242.98750284377,-75165.08705866149,-71249.6407548194,-70881.80365406316,-73779.65929013594,-75601.32805647318,-77182.61039598804,-77811.53819942578,-77888.1548463728,-77892.00454381022,-77885.71751753977,-77835.17778272006,-77542.50384065189,-77440.95109579648,-77213.95577753977,-76980.25977773097,-74917.21962123999,-68928.72135905,-57637.507843125,-14020.791671250003,0.0
"(0, 12)",-48011.02465965264,-77893.28703172528,-77893.28702762055,-77893.28704533076,-77893.28704760844,-77893.28704417475,-77893.28704524878,-77893.28704884672,-77893.2870494918,-77893.28704991765,-77893.28705033852,-77893.28702601565,-77893.28700513809,-77893.28687627953,-77893.287011963,-77893.28701022033,-77893.28701022033,-77893.28682537405,-77893.28492197442,-77893.28703659652,-77893.28697263302,-77893.28663433755,-77893.28689785696,-77893.28644508868,-77893.28423476563,-77893.28575098095,-77893.27703156561,-77893.13270765057,-77892.12940112944,-77884.94038143623,-77892.92560720265,-77889.6725095267,-77872.35710016954,-77837.52561303605,-77843.71693152143,-77869.16313298892,-77882.52388398496,-77893.19558603781,-77893.28702072798,-77893.28702072796,-77893.28701953447,-77893.28700879311,-77893.28700879314,-77893.2870069412,-77893.28700884976,-77893.2870031243,-77893.286944787,-77893.28694415296,-77893.28694188297,-77893.28693943917,-77893.28701144311,-77893.28684368475,-77893.28685803093,-77893.28671041793,-77893.28657895184,-77893.28692281646,-77893.28676317813,-77893.28624616763,-77893.28640546571,-77893.28672570948,-77893.28566651452,-77893.28629421466,-77893.28277101413,-77893.26560507077,-77893.28697367621,-77893.28697061332,-77893.2870072119,-77893.28700721188,-77893.28700721187,-77893.28681210188,-77893.28641648468,-77893.285254402,-77893.27554717344,-77893.20069755103,-77893.2024137627,-77893.25751464946,-77892.40062698425,-77892.586506902,-77881.42296532408,-77851.78053617428,-77731.49238346418,-77035.59135626811,-77315.50269389088,-75211.1028828375,-73487.08143688602,-66930.44218376308,-64560.58088416971,-69009.2028124836,-72164.45068124653,-75419.85067366394,-76955.03042411237,-77580.38351353034,-77618.82535423712,-77517.66057692972,-77267.08237482994,-76305.76977794594,-75885.29373827191,-74824.04508762014,-70222.11570488289,-62662.28513056164,-37854.02276250002,-9814.554169875008,0.0,0.0
"(0, 16)",-48011.02465965264,-77893.28645161269,-77893.28502620907,-77893.28701219024,-77893.28703712228,-77893.2870421206,-77893.28704441227,-77893.2870493634,-77893.28704820742,-77893.28705068283,-77893.28704850773,-77893.28700757654,-77893.28703878055,-77893.2870115261,-77893.28704095789,-77893.287018417,-77893.28704095785,-77893.28684707858,-77893.28490828603,-77893.28700541166,-77893.28700541166,-77893.28663433755,-77893.28689785696,-77893.28644508868,-77893.27780133043,-77893.28330788376,-77893.25890287833,-77892.86466817521,-77890.11910506432,-77883.2679000006,-77892.9203372164,-77889.61980966412,-77872.15154053656,-77837.22290269376,-77843.11770277844,-77868.32274790537,-77881.32632628786,-77892.04966238052,-77893.28702072798,-77893.28702072796,-77893.28701774425,-77893.28700879311,-77893.28700879314,-77893.28700879317,-77893.28700694125,-77893.28700312428,-77893.28694286832,-77893.28694229331,-77893.28697200809,-77893.28701625134,-77893.28698145256,-77893.28671515385,-77893.2865807596,-77893.28624633327,-77893.28535931447,-77893.28568636913,-77893.28390983815,-77893.28509698907,-77893.2853165813,-77893.28589364933,-77893.28436515231,-77893.28620420281,-77893.28277101413,-77893.28697363338,-77893.28697239193,-77893.2869513492,-77893.28686905024,-77893.28701088714,-77893.28680443573,-77893.28512701805,-77893.27254638555,-77893.27494456108,-77893.25965958241,-77892.96238368533,-77893.01294026875,-77892.9038472537,-77889.2442049195,-77891.88124534441,-77872.19980516666,-77715.32560486127,-77448.60028202528,-76124.59065799766,-76437.77353691116,-72447.18402844717,-66212.00781660619,-58292.5250672493,-55828.64190225818,-62050.66589563289,-66514.56444450632,-72534.4814189569,-75277.38091285793,-77050.98481420196,-77079.15921737361,-76968.68566533938,-75774.03923002783,-72306.95387749193,-71603.66409600558,-64436.54933331944,-52648.89267411874,-32242.94282083,-5234.428890600004,0.0,0.0,0.0
"(0, 20)",-48011.02465965264,-77893.2837953159,-77893.28502620907,-77893.28701219024,-77893.28694640059,-77893.28693665467,-77893.28700259842,-77893.28702841465,-77893.28702462735,-77893.28705165394,-77893.28703332884,-77893.28702709825,-77893.28702165183,-77893.28699041501,-77893.28704095789,-77893.28704095788,-77893.28703401504,-77893.28663879469,-77893.28282544702,-77893.287028247,-77893.28700541166,-77893.28663433755,-77893.28689785696,-77893.28644508868,-77893.27780133043,-77893.28330788376,-77893.25890287833,-77892.86466817521,-77890.11910506432,-77869.52738173255,-77889.5393169383,-77855.80960688318,-77802.72298234356,-77749.06435443206,-77783.71251931871,-77832.98972112768,-77861.11424386463,-77889.75781506598,-77893.15638183974,-77893.28702072796,-77893.28701774425,-77893.28700879311,-77893.28701058336,-77893.28700879317,-77893.28700694125,-77893.28700524484,-77893.28699888315,-77893.2869966895,-77893.28699198872,-77893.2869895573,-77893.28692088943,-77893.28489825978,-77893.2844172692,-77893.28503098426,-77893.28186893833,-77893.28249444734,-77893.276167812,-77893.27782269106,-77893.26955964114,-77893.22155607947,-77893.2207104752,-77893.28701557712,-77893.28701222553,-77893.28701222557,-77893.2867608535,-77893.28593132569,-77893.28527580801,-77893.28516486127,-77893.28679010007,-77893.28501950712,-77893.27174022586,-77893.27048323247,-77893.19635549258,-77892.60672736938,-77892.21312932324,-77890.1336191058,-77881.7940510596,-77882.17529372843,-77801.84027306292,-77489.23349572581,-76647.65893647932,-75172.34423530394,-72631.35824681999,-63764.77024631578,-53273.52275918331,-48935.87651100724,-47412.74203000803,-53068.1628390677,-58306.274812084244,-66903.44531442507,-72422.25535496141,-75675.62609047607,-75888.713231407,-74781.46382695173,-70807.99062366206,-64438.92508409472,-57646.558170998396,-43867.95602399555,-23565.38903928762,-3664.100223420001,0.0,0.0,0.0,0.0
"(9, 0)",-48011.02465965264,-77893.28419940872,-77893.28096716659,-77893.28697206314,-77893.28697206317,-77893.28696091453,-77893.28703810654,-77893.28704084807,-77893.28703573205,-77893.28702886422,-77893.28702630474,-77893.28701420994,-77893.28700359086,-77893.28686554251,-77893.28698590962,-77893.2868628881,-77893.28619236637,-77893.27864899687,-77893.22418815625,-77893.28697646754,-77893.28689989517,-77893.28645590415,-77893.28627526457,-77893.28374324497,-77893.25682191612,-77893.25101749582,-77893.01362265932,-77891.2157029024,-77884.8214443097,-77875.87749943741,-77869.13595093893,-77765.06718238557,-77585.57275208928,-77416.57042842683,-77527.81584131667,-77629.07104774597,-77731.01270269128,-77795.20440107193,-77880.3875859713,-77892.83013129508,-77892.3079753532,-77883.49667439394,-77819.85954169216,-77578.59856508201,-77893.28699888315,-77893.28699888315,-77893.28694333234,-77893.28694151409,-77893.28693969578,-77893.28692524272,-77893.28675344707,-77893.2844783081,-77893.28628467456,-77893.2855290042,-77893.28490298489,-77893.28540292245,-77893.2844194568,-77893.27934068195,-77893.27876387187,-77893.28177749467,-77893.27549685522,-77893.27991943117,-77893.26590057438,-77893.22642535348,-77892.95056196698,-77891.26846043844,-77893.28690251245,-77893.28684000042,-77893.28601541888,-77893.27958368286,-77893.27016717618,-77893.27676684204,-77893.24125196275,-77892.93513605424,-77892.64402316604,-77892.29542795186,-77884.70300076803,-77892.01174257755,-77881.7400469628,-77795.90966243904,-77501.86866715518,-76871.2012050211,-76551.98095284162,-74389.72957247442,-70561.28118705274,-68563.07181244894,-68501.19502436041,-72819.3585139039,-75322.59027057746,-77095.32324315004,-77775.48410035294,-77881.55446053039,-77883.55125526358,-77878.93212121881,-77821.51558722294,-77687.01019590757,-77682.8629697327,-77262.74178821086,-75534.74006701956,-72976.76251576343,-57512.800259755575,-35215.049890708324,0.0,0.0
"(9, 4)",-48011.02465965264,-77893.28419940872,-77893.28096958212,-77893.28699863408,-77893.28701344311,-77893.28696623941,-77893.28702307229,-77893.28704053104,-77893.28703719859,-77893.28703142368,-77893.28702409641,-77893.28701420994,-77893.28698766218,-77893.28685998701,-77893.28693592057,-77893.28686265148,-77893.28619118324,-77893.27863900295,-77893.224111955,-77893.28689784085,-77893.28668775652,-77893.28634366184,-77893.28604498436,-77893.28339142285,-77893.25480526908,-77893.23962889587,-77893.01200490646,-77891.1995729171,-77884.78958459578,-77875.78550357255,-77869.02035589704,-77764.73361805556,-77584.9642212488,-77415.69439227368,-77527.26510121953,-77628.93523449467,-77731.00918755449,-77795.20440107024,-77880.38758596989,-77892.82841465382,-77892.30675486616,-77883.4959194415,-77819.85874576363,-77578.59725701387,-77893.28683564327,-77893.28699888315,-77893.28694333234,-77893.28694151409,-77893.28693969578,-77893.28692524272,-77893.28675344707,-77893.28437593061,-77893.28590356714,-77893.28512643445,-77893.28361487787,-77893.28485823245,-77893.28423067924,-77893.27884659199,-77893.27857474596,-77893.28164143517,-77893.27490357734,-77893.27860449288,-77893.26425577351,-77892.8030447816,-77892.8832404714,-77891.2682042122,-77893.28658995756,-77893.28607670065,-77893.28227687631,-77893.2700378445,-77893.21385338115,-77893.21625799657,-77893.08505616795,-77892.32564862534,-77891.62675808986,-77888.08019705702,-77883.55923345017,-77872.57993599099,-77744.33838238528,-77479.40094729578,-77040.21517845776,-75264.8439961427,-73203.67473527424,-68699.85113754273,-64998.3179379493,-62483.75002415159,-62006.71117514603,-67135.11252318454,-71147.89645616425,-75210.117022626,-77368.54100662532,-77780.86373487496,-77824.64019207566,-77716.05633378944,-77188.76006662201,-75551.65249896926,-75325.75166527524,-71451.771419404,-64512.59333128915,-39868.68491995927,-14256.296483255555,0.0,0.0,0.0
"(9, 8)",-48011.02465965264,-77893.28419940872,-77893.28096836459,-77893.28699621855,-77893.28700658643,-77893.28696042967,-77893.28702567577,-77893.28703940977,-77893.2870337585,-77893.28703091179,-77893.28702409641,-77893.28696005497,-77893.28697591237,-77893.2867802457,-77893.28700819366,-77893.28678573467,-77893.28556296468,-77893.27864404154,-77893.22413831452,-77893.28696339617,-77893.28647325722,-77893.28565097837,-77893.28320459985,-77893.27118197134,-77893.24753593426,-77893.21346217321,-77892.89431826661,-77891.18513086152,-77884.66801781704,-77875.6320730326,-77868.72160916125,-77764.19360554403,-77583.67222223243,-77413.65452490325,-77524.96406378121,-77626.96692285287,-77730.26497812563,-77795.20440107024,-77880.38758596989,-77892.82841465382,-77892.30675486616,-77883.4959194415,-77819.85874576363,-77578.59725701387,-77893.28683564327,-77893.28699888315,-77893.28694333234,-77893.28694151409,-77893.28693947339,-77893.28691265239,-77893.28665662547,-77893.28409863761,-77893.28530954149,-77893.28409716766,-77893.28213969282,-77893.28367819726,-77893.28235260512,-77893.27804837265,-77893.27803958516,-77893.28094113267,-77893.27453176743,-77893.27851578507,-77893.2360280723,-77892.80069189412,-77892.88203667228,-77891.26421885673,-77893.28621449243,-77893.28540193696,-77893.2790277539,-77893.24092732758,-77893.12260798318,-77893.20058184079,-77892.69163817364,-77890.61507886239,-77889.45921611362,-77891.5354642794,-77873.24674380719,-77879.99273529761,-77812.72364078062,-77485.25966997034,-76776.3423376015,-75099.33166275542,-73240.0860879671,-62392.700975007414,-57648.46942039514,-53370.24910115935,-52602.174163279575,-57737.928877671824,-63421.383442946564,-70929.22643911104,-75043.97917479026,-77116.11597560348,-77316.0172679566,-76588.6238813302,-73587.94295487135,-68718.0556194309,-62559.68818270071,-52455.33619714731,-31042.261710105136,-7438.850426225562,0.0,0.0,0.0,0.0
"(9, 12)",-48011.02465965264,-77893.28419940872,-77893.28096481321,-77893.28699621855,-77893.28700762808,-77893.2869480908,-77893.28702323491,-77893.28703631296,-77893.2870262215,-77893.2870220256,-77893.2869887581,-77893.28695193579,-77893.28680918973,-77893.28626022056,-77893.28679544509,-77893.28486246786,-77893.27895614856,-77893.21369569698,-77893.15391521869,-77893.22381189637,-77892.34231125779,-77893.2758201886,-77893.28231395563,-77893.27780133042,-77893.2245092749,-77893.20353334192,-77892.59645332795,-77890.68749602725,-77882.11866000552,-77873.81322458,-77868.3734729874,-77761.87829029105,-77581.62157933638,-77411.11637554594,-77521.60903559742,-77622.51287228231,-77725.68165345673,-77794.03236017146,-77880.25699976245,-77892.82841465382,-77892.30675486616,-77883.4959194415,-77819.85874576363,-77578.59725701387,-77893.28683564327,-77893.28699888315,-77893.28694322845,-77893.28694151409,-77893.28693943917,-77893.286707771,-77893.28658114278,-77893.28300266713,-77893.2832266837,-77893.28125548075,-77893.27853817506,-77893.28064737881,-77893.27945192547,-77893.2692605622,-77893.26767409152,-77893.26916954324,-77893.24230615312,-77893.25696084577,-77893.16541866372,-77892.76467303542,-77892.64591551336,-77891.22787307322,-77893.28590925434,-77893.28151742402,-77893.26378758338,-77893.16709450987,-77893.22519992146,-77893.12101564347,-77893.12256640638,-77892.02873038134,-77890.86541150596,-77890.9248874848,-77848.1284420012,-77866.79217155291,-77571.94310040148,-77036.65207207872,-75521.04009044453,-73430.53645387848,-69082.63528162372,-55534.04551095777,-47629.76967980176,-41847.23471239222,-40158.279522333214,-46879.36723465674,-52296.43919421789,-62415.73611019413,-69375.56880275974,-73344.42369003275,-73868.48218581015,-71702.36611266038,-66242.14634492049,-53943.600790110926,-42282.899916469854,-23173.68910898278,-4193.218578984036,0.0,0.0,0.0,0.0,0.0
