State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
"(0, 0)",-47927.63452580934,-77893.2870566582,-77893.28705646419,-77893.28705655083,-77893.2870565508,-77893.28705655076,-77893.28705672262,-77893.2870566144,-77893.28705641146,-77893.28705645357,-77893.2870560217,-77893.28705502504,-77893.28705426087,-77893.28705415252,-77893.28705485417,-77893.28705789475,-77893.28705773594,-77893.28705773594,-77893.28705773591,-77893.28705773588,-77893.2870579548,-77893.2870579548,-77893.28706117584,-77893.28706117587,-77893.28705587944,-77893.28705260501,-77893.28702009296,-77893.28642639455,-77893.28229170929,-77893.25128156987,-77893.2819208381,-77893.23564588105,-77893.22405565945,-77893.17337432208,-77893.19658226155,-77893.2021836839,-77893.20837013,-77893.19913993185,-77893.28669422762,-77893.28685688104,-77893.28700879311,-77893.28700879311,-77893.28684524457,-77893.28700879317,-77893.28700906181,-77893.28700100371,-77893.28698422108,-77893.28698078541,-77893.28698234561,-77893.2869926209,-77893.28699314501,-77893.28700619107,-77893.28701697796,-77893.28702994912,-77893.28699500444,-77893.28701007646,-77893.28700633194,-77893.28702902897,-77893.28700965103,-77893.28702678057,-77893.28700610089,-77893.28702332631,-77893.28690596166,-77893.28698461839,-77893.2869836832,-77893.28698776309,-77893.2869942552,-77893.2870049159,-77893.28700491475,-77893.28700490476,-77893.28663044577,-77893.28652955165,-77893.2838614713,-77893.26303391827,-77893.2483217993,-77893.26126602867,-77893.24440292433,-77893.28259515298,-77893.15170149114,-77891.23653838018,-77872.5807314311,-77683.2074037482,-77817.58966454308,-77438.75678879116,-76995.75397551178,-75901.3651303212,-75772.45695109424,-77286.30270869883,-77668.72732140722,-77863.72435538305,-77892.439953315,-77893.28703820662,-77893.28703736897,-77893.28687401746,-77893.28625471774,-77893.27898467761,-77893.23859556581,-77892.92356049368,-77891.10605046223,-77871.47694212249,-77799.81511802498,-77581.71391424998,-73219.68983874998,-62314.62964999997
"(0, 4)",-47927.63452580934,-77893.28705645796,-77893.28705644976,-77893.28705655083,-77893.2870565508,-77893.28705660262,-77893.28705641143,-77893.28705641144,-77893.28705641146,-77893.28705602168,-77893.28705502505,-77893.28705421607,-77893.28705381273,-77893.28705415252,-77893.28705363584,-77893.28705374849,-77893.28703381118,-77893.2870256405,-77893.2870189881,-77893.28698096678,-77893.2868561585,-77893.28627065945,-77893.28627373763,-77893.28627373763,-77893.28627373763,-77893.28437103421,-77893.20754832981,-77893.20754832982,-77893.20754832984,-77893.10120561282,-77892.57245394278,-77892.57245394276,-77892.61032347674,-77892.64742724098,-77892.83334015816,-77893.02927800454,-77893.11382814232,-77893.15156907185,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28695060564,-77893.28695060564,-77893.28695060563,-77893.28695060562,-77893.2869506056,-77893.28695517044,-77893.28695517467,-77893.28695966832,-77893.28696341618,-77893.28696155966,-77893.28696155966,-77893.28690996552,-77893.28672185678,-77893.2867422051,-77893.28674220513,-77893.28679305277,-77893.28682730158,-77893.28580474263,-77893.2869694491,-77893.28695723976,-77893.2869511741,-77893.28684238349,-77893.28602972704,-77893.27969107153,-77893.2799347684,-77893.2517222986,-77892.97669573934,-77892.18926574725,-77892.2300909793,-77892.22867102895,-77892.51316836065,-77889.18304056264,-77833.62178756382,-77315.08903021654,-77301.92836090112,-76798.5521346382,-71649.5487581875,-71649.54875818746,-71932.02154179626,-72048.8972547276,-72953.83213090907,-76064.22246654898,-77079.87593762545,-77709.79550745053,-77884.16554974494,-77892.96235339234,-77893.28687401747,-77879.23604474611,-77878.75155474707,-77878.75155474701,-77886.30860911697,-77793.69928984353,-77404.07224736884,-66124.84886939754,-65930.45338955839,-65154.83115050003,-54132.830911250014,-19913.849353125006
"(0, 8)",-47927.63452580934,-77893.28705645796,-77893.28705644976,-77893.28705655083,-77893.2870565508,-77893.28705631554,-77893.28705641143,-77893.28705641144,-77893.28705639708,-77893.28705602168,-77893.28705502505,-77893.28705418619,-77893.28704256375,-77893.28703676938,-77893.28700838353,-77893.28700838354,-77893.28685444649,-77893.28599847638,-77893.28599847636,-77893.28600600986,-77893.28600600986,-77893.28600600986,-77893.28098261646,-77893.25452701068,-77893.25452701068,-77892.38951223948,-77892.38951223948,-77892.38951223948,-77892.38951223945,-77892.38951223942,-77891.83958409642,-77891.41529102747,-77891.47423745651,-77891.53431431245,-77891.91861464523,-77892.67107976107,-77892.88465207907,-77893.15156907185,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28695060564,-77893.28695060564,-77893.28694993822,-77893.28695060562,-77893.28695027954,-77893.28695027958,-77893.28681643546,-77893.28682485882,-77893.2868326452,-77893.28657896988,-77893.28591813303,-77893.28576554339,-77893.2857620997,-77893.28578003596,-77893.28578312576,-77893.28580309312,-77893.28580309312,-77893.28579237132,-77893.28649963354,-77893.27322905368,-77893.18420972099,-77892.29714125754,-77892.18726476094,-77892.18726476091,-77892.18726476087,-77892.18926574728,-77892.18926574726,-77890.67300031554,-77868.87373102296,-77658.82850575709,-77658.82850575712,-70980.02024049337,-70980.0202404934,-70980.02024049342,-70993.83190388374,-70993.83190388378,-70684.82824023896,-66825.9461684447,-67240.55555277238,-67413.90448716364,-69152.63385526216,-73176.75992658579,-75301.89179789858,-77095.33397350939,-77798.43719305849,-77874.40493680668,-77878.20136362086,-77873.02795799468,-72014.29108009582,-66095.05374775497,-66012.6598195805,-65801.90447821384,-65608.3999861737,-63849.33609951369,-58740.02861317504,-49117.82480718752,-11948.309611875005,0.0
"(0, 12)",-47927.63452580934,-77893.28705645748,-77893.28705644976,-77893.28705655083,-77893.28705044996,-77893.28704511172,-77893.2870419685,-77893.2870209019,-77893.28701695638,-77893.28701413516,-77893.28701200009,-77893.28701200007,-77893.28671573561,-77893.28514223892,-77893.2852769929,-77893.2852769929,-77893.2852769929,-77893.27878364155,-77893.26194902691,-77892.92246953053,-77882.37991162982,-77811.50061992057,-77871.45352958285,-77811.5007866563,-77892.38620712944,-77892.38713505844,-77892.31819680837,-77890.25004930566,-77890.25004930572,-77890.47945567574,-77890.72139568655,-77889.68055267519,-77889.70584458666,-77889.73200863307,-77890.25620990174,-77891.29628775349,-77892.27177547438,-77893.15156907185,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28695060564,-77893.28694887036,-77893.2869486034,-77893.28694860342,-77893.28671038475,-77893.28671038474,-77893.28561687587,-77893.28414560048,-77893.28427584801,-77893.28459175276,-77893.28459175274,-77893.28408869963,-77893.2833776824,-77893.27467272495,-77893.21912072091,-77893.06570747255,-77892.18538027749,-77892.18538027749,-77892.18723880315,-77892.18723880318,-77892.18726476094,-77892.18726476094,-77892.18726476094,-77874.76443948482,-77630.84488561959,-76969.79840591548,-70974.25781700875,-70974.2578170087,-70974.46238141505,-70974.62688764838,-70974.6268876484,-70826.66949393526,-66369.63469982032,-66359.76515988926,-66285.72519468678,-65937.45721782788,-66022.46091425861,-64816.605823916034,-63851.252623829045,-59432.77830219232,-56127.92577201079,-59958.02719894437,-61502.79624971955,-64277.59359861019,-65597.74922929073,-66112.86477353948,-66145.62534711494,-66059.46022411574,-65846.10181102616,-65028.116876059976,-64669.2757227955,-63764.89430888834,-59847.06688373291,-53399.86509198254,-32258.633793750025,-8363.816728312506,0.0,0.0
"(0, 16)",-47927.63452580934,-77833.67114773874,-77833.67114773871,-77833.67283594963,-77893.28699983307,-77893.28700480443,-77893.28701010041,-77893.28701307447,-77893.28697813732,-77893.28680854337,-77893.28090829864,-77893.10390095638,-77890.55900401555,-77866.02376000515,-77811.5008114295,-77871.476086176,-77811.5008114295,-77811.5008114295,-77811.5008114295,-77811.50061992061,-77811.5006199206,-77811.50061992057,-77811.50078665631,-77811.5007866563,-77811.50078665628,-77811.50255315004,-77811.50255315004,-77811.50255315004,-77811.50255315004,-77885.8697680518,-77888.94708724153,-77888.94708724153,-77888.94708724153,-77888.94708724153,-77889.32629999849,-77890.15775659528,-77890.95379608472,-77892.0056887556,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28694475748,-77893.28694475746,-77893.2866662417,-77893.28624957992,-77893.28210233638,-77893.28210233638,-77893.28231374492,-77893.27396062453,-77893.15431333835,-77892.73170693639,-77892.17882212004,-77892.18123401425,-77892.18263116399,-77892.18406921955,-77892.1840692196,-77892.18538027749,-77892.18538027749,-77891.26484356803,-77864.51538175011,-77477.1093830073,-76508.59479244154,-70974.2323366725,-70974.2323366725,-70974.2323366725,-70974.23233667252,-70974.24872174783,-70871.87058399155,-69438.44932175074,-66379.3236696559,-66379.17127343091,-66376.15297525903,-66378.29982733083,-66361.52759746213,-66231.55068480423,-66011.99481130122,-64892.44024961853,-65169.726934752245,-61805.38991129569,-56506.932179122974,-49881.32864740687,-47634.383065140886,-52891.150406650275,-56691.06589058974,-61816.82716033894,-64152.027273741754,-65661.78772266612,-65685.75313467249,-65591.730161115,-64574.243561470255,-61624.06701663717,-61023.74918153026,-54923.50365491553,-44871.22828225738,-27476.955128805035,-4460.702255100003,0.0,0.0,0.0
"(0, 20)",-47927.63452580934,-77490.043632273,-77451.86530902363,-77833.67283594963,-77833.67283594965,-77833.67289199782,-76999.07883481633,-77133.55505258832,-77504.38461262673,-77888.00139776042,-77840.48580291634,-77366.92292055582,-77366.92292055585,-77366.92292055588,-77430.43404584019,-77811.5008114295,-77430.43404584019,-77389.87158824809,-77405.87623550865,-77786.09618005209,-77760.69174018357,-77430.43402189277,-77811.50078665631,-77811.5007866563,-77811.50078665628,-77811.50255315004,-77430.43572950338,-77811.50255315004,-77811.50255315004,-77811.50255315004,-77717.04397959402,-77717.04397959402,-77102.82303800923,-76060.26012941565,-76092.10309033915,-75799.86419773585,-76218.99061405077,-76738.67610170244,-77893.15156907182,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.28210233638,-77893.14240653411,-77889.09122826849,-77767.60995131574,-77767.61202724212,-77422.50695260912,-77693.2344108497,-77394.81779394425,-77774.66019381866,-77774.66345888241,-77539.62887538763,-76826.594813495,-70913.65023481715,-70673.01109187024,-70673.0110918702,-70821.06327283982,-70821.06327283979,-70974.2207014291,-70974.22490316397,-67298.42244180891,-66379.4971952102,-66379.48811565244,-66379.4928619849,-66379.46048051142,-66378.93739517081,-66378.60062239188,-66376.88523233794,-66369.2444906543,-66363.80036329661,-66292.25894050968,-66008.30218032881,-65263.89579369847,-64075.05019553653,-61913.98717826864,-54369.93416107164,-45447.75997576073,-41763.908150252624,-40430.956216554085,-45238.95530889712,-49699.7526736085,-57021.03111279014,-61719.933404460266,-64490.2599754294,-64671.44480409836,-63727.964323471875,-60342.84737147847,-54921.33953200628,-49140.96098363409,-37387.01114188914,-20082.073178724557,-3122.4915785700014,0.0,0.0,0.0,0.0
"(9, 0)",-47927.63452580934,-77893.28705615686,-77893.28705582209,-77893.28705611758,-77893.28705611758,-77893.28705605095,-77893.28705635961,-77893.28705622365,-77893.28705578545,-77893.28705519118,-77893.28705502505,-77893.28705381275,-77893.28705347297,-77893.28704905596,-77893.28705462163,-77893.28705702275,-77893.28705416994,-77893.28702207592,-77893.28681588222,-77893.28705510873,-77893.28705138691,-77893.2870298067,-77893.28696322134,-77893.2867603588,-77893.28692485005,-77893.2869034634,-77893.28585379731,-77893.27783743592,-77893.24888465903,-77893.1793742441,-77893.14278987912,-77892.95279529608,-77892.84424464572,-77892.93884995417,-77893.06679072915,-77893.14574624304,-77893.16793363728,-77893.15995847214,-77893.28517687028,-77893.28694979455,-77893.28687213783,-77893.28564224034,-77893.27680054012,-77893.24396014474,-77893.28699888315,-77893.28699888315,-77893.28695060564,-77893.28695060564,-77893.28695060563,-77893.28694967415,-77893.28693663377,-77893.28683715344,-77893.28680832186,-77893.28668732183,-77893.28659905326,-77893.28675778439,-77893.28663633199,-77893.28616310858,-77893.28605677164,-77893.28640573473,-77893.2857601634,-77893.28623234756,-77893.28476831233,-77893.28062259108,-77893.25166027242,-77893.07506550655,-77893.28689933504,-77893.28684499738,-77893.28604540296,-77893.27980861116,-77893.27110310808,-77893.2767622769,-77893.2411834858,-77892.93316521232,-77892.64151917135,-77892.27126953992,-77883.97824841063,-77892.01174257755,-77881.31636093327,-77783.19908155293,-77499.33840063267,-76860.69934765459,-76507.29245854696,-74382.7684800733,-70536.70280254299,-68542.62586678875,-68425.98946077128,-72803.24132569224,-75307.23910120122,-77083.86407888387,-77775.11916777016,-77881.5544454518,-77883.55125526358,-77878.93212121881,-77821.51558722294,-77687.01019590757,-77682.8629697327,-77262.74178821086,-75534.74006701956,-72976.76251576343,-57512.800259755575,-35215.049890708324,0.0,0.0
"(9, 4)",-47927.63452580934,-77893.28705615686,-77893.28705583654,-77893.28705627644,-77893.28705597662,-77893.2870561812,-77893.28705592295,-77893.28705594447,-77893.28705591169,-77893.28705535729,-77893.28705354864,-77893.28705381275,-77893.28705296332,-77893.28704344845,-77893.2870443294,-77893.28705036917,-77893.28702090206,-77893.28697825591,-77893.28671349685,-77893.28700537745,-77893.28665408742,-77893.28614164716,-77893.28618139245,-77893.2859274432,-77893.28107932094,-77893.26498082581,-77893.20214438102,-77893.126489098,-77892.97480136095,-77892.68982426732,-77892.44232808494,-77892.26708172922,-77892.04895045297,-77892.01992201564,-77892.49244987658,-77893.00799020493,-77893.1601471558,-77893.15594782958,-77893.28058637005,-77893.28204150982,-77893.28197231976,-77893.28080368902,-77893.272363132,-77893.24036326102,-77893.28210231473,-77893.28210233638,-77893.28695060564,-77893.28695060564,-77893.28695060563,-77893.28694967415,-77893.28693663377,-77893.28681268805,-77893.28666907978,-77893.28643734967,-77893.28617500335,-77893.28654179495,-77893.2864372251,-77893.28579128516,-77893.28569151844,-77893.2861317557,-77893.28539740383,-77893.28595852047,-77893.28459557396,-77893.23529261588,-77893.2445515772,-77893.07479276856,-77893.28650504086,-77893.28591642267,-77893.28102982351,-77893.26823799148,-77893.21535544176,-77893.19310781299,-77892.85437154483,-77891.46686227365,-77891.00533401774,-77887.80445495968,-77882.83448109278,-77870.19979138338,-77714.56781768506,-77206.76416449816,-76661.4280183971,-75199.43785783369,-72976.89190389948,-68029.95608058177,-64853.15677278665,-62213.43645542408,-61643.73032325668,-66924.13052379778,-71059.49384518377,-75182.14094563323,-77362.8623626688,-77778.12216059213,-77821.25496140838,-77705.9006417876,-77127.82591461085,-75290.5061332072,-75001.84203446613,-70480.04252697677,-61089.33385079946,-35392.37374495931,-13537.085816255563,0.0,0.0,0.0
"(9, 8)",-47927.63452580934,-77893.28705615686,-77893.28705472477,-77893.28705626201,-77893.28705477054,-77893.28705245446,-77893.28705353496,-77893.28705534436,-77893.28705410985,-77893.28705532405,-77893.28705354864,-77893.28701073237,-77893.2870177164,-77893.28687197198,-77893.28698668799,-77893.28693611738,-77893.28629383237,-77893.2859589502,-77893.2857020301,-77893.28594950848,-77893.28558224952,-77893.28441804663,-77893.27824190454,-77893.25222697991,-77893.24822849671,-77892.3890503273,-77892.38674076645,-77892.36749818377,-77892.2244068216,-77892.15585155069,-77891.11508842936,-77891.07862439567,-77890.50253644172,-77889.86516115615,-77890.10756889104,-77891.0069937172,-77892.41400857159,-77893.15594782958,-77893.28058637005,-77893.28204150982,-77893.28197231976,-77893.28080368902,-77893.272363132,-77893.24036326102,-77893.28210231473,-77893.28210233638,-77893.28695060564,-77893.28695060564,-77893.28694887037,-77893.28693795514,-77893.28676783446,-77893.28667849775,-77893.28617623198,-77893.28541572983,-77893.28469091347,-77893.2851863625,-77893.28391290962,-77893.28476276279,-77893.28490565346,-77893.28524194862,-77893.28463670237,-77893.28526995686,-77893.28156409088,-77893.2348650816,-77893.24220692516,-77893.06393774007,-77893.18351192138,-77892.29602878196,-77892.18170238301,-77892.15389049322,-77892.06211125705,-77892.12923615472,-77891.73904380311,-77889.77035742662,-77888.8110340851,-77658.380801393,-77652.11294029557,-70978.5469963984,-70968.97090978116,-70869.52693337105,-70579.48200217479,-68507.73249363004,-65580.3749556784,-61645.41344824361,-57189.67280292646,-52632.89756586672,-51762.92843253236,-56777.69625273407,-62531.80412133168,-70161.06697559688,-74386.71988272999,-77105.16802827705,-77301.97549905206,-75270.83275325861,-65985.8669464975,-58569.332533159126,-53326.59923549866,-44751.19403344904,-26784.356731598487,-6478.085671275563,0.0,0.0,0.0,0.0
"(9, 12)",-47927.63452580934,-77893.28705615686,-77893.28705128291,-77893.287056262,-77893.28704140752,-77893.28704432359,-77893.28705190402,-77893.28705281085,-77893.28704740998,-77893.28704242545,-77893.28697302516,-77893.28691754186,-77893.28569493433,-77893.28444372158,-77893.28496918718,-77893.28219893566,-77893.27373427826,-77893.17006917411,-77893.05348911833,-77892.5645225266,-77882.466508203,-77811.49435633753,-77871.45165380552,-77811.5007866563,-77892.35509228839,-77892.29035893842,-77889.4259990999,-77889.22154373396,-77882.68159749165,-77887.43634970413,-77889.3033358966,-77887.41725200372,-77887.16445094657,-77887.19430594757,-77886.61402941495,-77886.48516908624,-77887.7888158243,-77891.98396097346,-77893.15005367063,-77893.28204150982,-77893.28197231976,-77893.28080368902,-77893.272363132,-77893.24036326102,-77893.28210231473,-77893.28210233638,-77893.28695002082,-77893.28695060564,-77893.2869486034,-77893.28679506844,-77893.2866280304,-77893.28550553152,-77893.28363491473,-77893.28128713669,-77893.27921690178,-77893.27985318138,-77893.27830586239,-77893.26963160656,-77893.26178868786,-77893.2470313628,-77893.1771360729,-77893.06032720579,-77892.1822504638,-77892.169731209,-77892.13148303349,-77892.00814878712,-77892.18648602805,-77892.1833710964,-77892.17057762711,-77874.67346483559,-77630.794377671,-76969.67516360668,-70974.12138809495,-70972.21138330178,-70968.32544922433,-70969.69170064884,-70826.57127766225,-70818.21965514435,-66181.24933358408,-65667.70805690756,-64457.720188167405,-63373.2493549245,-59247.56831114783,-51921.266030686995,-43611.618394022546,-36213.72451900288,-35084.17352403418,-39979.79146303573,-44589.876868333246,-53203.65124069785,-59127.428632002295,-62505.537232085466,-62951.12142933664,-61106.27899408092,-56460.64472710953,-45994.438142019906,-36068.05709765384,-19920.876408899603,-3624.2947108957037,0.0,0.0,0.0,0.0,0.0
