,Stage 50,Stage 49,Stage 48,Stage 47,Stage 46,Stage 45,Stage 44,Stage 43,Stage 42,Stage 41,Stage 40,Stage 39,Stage 38,Stage 37,Stage 36,Stage 35,Stage 34,Stage 33,Stage 32,Stage 31,Stage 30,Stage 29,Stage 28,Stage 27,Stage 26,Stage 25,Stage 24,Stage 23,Stage 22,Stage 21,Stage 20,Stage 19,Stage 18,Stage 17,Stage 16,Stage 15,Stage 14,Stage 13,Stage 12,Stage 11,Stage 10,Stage 9,Stage 8,Stage 7,Stage 6,Stage 5,Stage 4,Stage 3,Stage 2,Stage 1
"(9, 20)",193156.1200210309,193156.1200210309,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,190854.2543374996,198482.0458574775,198482.0458574775,198482.0458574775,198482.0458574775,198482.0458574775,198482.0458574775,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685
"(18, 0)",187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,187103.3336634685,265738.5313754482,265738.5313754482,265738.5313754482,265738.5313754482,265738.5313754482,265738.5313754482,304596.9751154876,304596.9751154876,304596.9751154876,304596.9751154876,304596.9751154876,304596.9751154876,287762.6489768577,287762.6489768577,287762.6489768577,287762.6489768577,287762.6489768577,287762.6489768577,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,275024.8827329277,281247.5097535381,281247.5097535381,281247.5097535381,281247.5097535381,281247.5097535381,281247.5097535381,306012.1789796842,306012.1789796842
"(18, 4)",306012.1789796842,306012.1789796842,306012.1789796842,306012.1789796842,290774.1877375743,290774.1877375743,290774.1877375743,290774.1877375743,290774.1877375743,290774.1877375743,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,281115.9989154742,296577.358201574,296577.358201574,296577.358201574,296577.358201574,296577.358201574,296577.358201574,308501.6489373657,308501.6489373657,308501.3724817162,308501.3724817162,308501.3724817162,308501.3724817162,292019.4486873957,292019.4486873957,292003.3790201004,292003.3790201004,292003.3790201004,292003.3790201004,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758
"(18, 8)",277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277207.6718732758,277208.090795156,277208.090795156,277208.090795156,277208.090795156,277208.090795156,277208.090795156,255405.0592541495,255405.0592541495,255405.0592541495,255405.0592541495,255405.0592541495,255405.0592541495,248334.5888572606,248334.5888572606,248260.9166536551,248260.9166536551,248260.9166536551,248260.9166536551,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784,241899.8948840784
"(18, 12)",253865.5384939983,253865.5384939983,253865.5384939983,253865.5384939983,253865.5384939983,253865.5384939983,245252.6315344361,245252.6315344361,245252.6315344361,245252.6315344361,245252.6315344361,245252.6315344361,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,236772.0573666546,281221.1745280863,281221.1745280863,281221.1745280863,281221.1745280863,281221.1745280863,281221.1745280863,296472.7870731165,296472.7870731165,296472.7870731165,296472.7870731165,296472.7870731165,296472.7870731165,283889.4762239165,283889.4762239165
"(18, 16)",283783.5482875527,283783.5482875527,283783.5482875527,283783.5482875527,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,269965.1115772548,272627.9433896706,272627.9433896706,272627.9433896706,272627.9433896706,272627.9433896706,272627.9433896706,294209.2424235227,294209.2424235227,294209.2424235227,294209.2424235227,294209.2424235227,294209.2424235227,284517.3689749927,284517.3689749927,284467.2685916754,284467.2685916754,284467.2685916754,284467.2685916754,266027.5503316118,266027.5503316118,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119
"(18, 20)",266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316119,266027.5503316118,266027.5503316118,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,217163.0069398764,270295.8813748201,270295.8813748201,270295.8813748201,270295.8813748201,270295.8813748201,270295.8813748201
"(27, 0)",254870.2732079539,254870.2732079539,254870.2732079539,254870.2732079539,254870.2732079539,254870.2732079539,244791.2687829695,244791.2687829695,244791.2687829695,244791.2687829695,244791.2687829695,244791.2687829695,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.144828151,242751.1448281509,242751.1448281509,242751.1448281509,242751.1448281509,242751.1448281509,242751.1448281509,278489.7000363246,278489.7000363246,278489.7000363246,278489.7000363246,278489.7000363246,278489.7000363246,303927.6272583855,303927.6272583855,303927.6272583855,303927.6272583855,303927.6272583855,303927.6272583855,283497.6312342205,283497.6312342205,283497.6312342205,283497.6312342205,283497.6312342205,283497.6312342205,277484.4702574346,277484.4702574346
"(27, 4)",277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,277484.4702574346,303880.9130794768,303880.9130794768,303880.9130794768,303880.9130794768,303880.9130794768,303880.9130794768,311936.3571947233,311936.3571947233,311936.3571947233,311936.3571947233,311936.3571947233,311936.3571947233,302357.6532872232,302357.6532872232,302357.6532872232,302357.6532872232,302357.6532872232,302357.6532872232,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044
"(27, 8)",273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,273637.5702263044,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,230565.7551611463,306685.7183449572,306685.7183449572,306685.7183449572,306685.7183449572,306685.7183449572,306685.7183449572,313449.9806532421,313449.9806532421,313449.9806532421,313449.9806532421,313449.9806532421,313449.9806532421
