Date_time;Water_value
31.12.2010 23:00;823.42
03.01.2011 09:00;802
03.01.2011 23:00;801.57
04.01.2011 23:00;747.53
06.01.2011 23:00;702.5
10.01.2011 23:00;678.89
11.01.2011 23:00;682.86
12.01.2011 23:00;682.86
13.01.2011 23:00;652.41
17.01.2011 23:00;621.22
18.01.2011 23:00;576.8
20.01.2011 23:00;576.8
24.01.2011 23:00;576.09
25.01.2011 23:00;515
27.01.2011 23:00;541.82
31.01.2011 23:00;541.49
01.02.2011 23:00;522.28
03.02.2011 23:00;574.52
08.02.2011 23:00;595.42
14.02.2011 23:00;588.26
15.02.2011 23:00;573.39
22.02.2011 23:00;571.11
24.02.2011 23:00;600.25
08.03.2011 23:00;580.45
21.03.2011 23:00;595.91
04.04.2011 22:00;561.44
11.05.2011 22:00;521.62
19.05.2011 22:00;502.58
28.06.2011 22:00;371.1
04.07.2011 22:00;372.2
15.08.2011 22:00;369.83
18.08.2011 22:00;373.6
25.09.2011 22:00;325
26.09.2011 22:00;325
27.09.2011 22:00;325
28.09.2011 22:00;325
29.09.2011 22:00;325
30.09.2011 22:00;325
01.10.2011 22:00;325
02.10.2011 22:00;325
03.10.2011 22:00;100
05.10.2011 22:00;100
06.10.2011 22:00;100
07.10.2011 22:00;100
08.10.2011 22:00;100
09.10.2011 22:00;100
10.10.2011 22:00;100
11.10.2011 22:00;100
12.10.2011 22:00;50
13.10.2011 22:00;50
14.10.2011 22:00;50
15.10.2011 22:00;50
16.10.2011 22:00;320
17.10.2011 22:00;383
18.10.2011 22:00;340
19.10.2011 22:00;340
20.10.2011 22:00;340
21.10.2011 22:00;340
22.10.2011 22:00;340
23.10.2011 22:00;330
24.10.2011 22:00;320
25.10.2011 22:00;320
26.10.2011 22:00;325
27.10.2011 22:00;335
28.10.2011 22:00;335
29.10.2011 22:00;335
30.10.2011 23:00;350
31.10.2011 23:00;379
01.11.2011 23:00;379
02.11.2011 23:00;377
03.11.2011 23:00;377
04.11.2011 23:00;377
05.11.2011 23:00;377
06.11.2011 23:00;396
07.11.2011 23:00;405
08.11.2011 23:00;405
09.11.2011 23:00;405
10.11.2011 23:00;405
11.11.2011 23:00;405
12.11.2011 23:00;405
13.11.2011 23:00;374
14.11.2011 23:00;330
15.11.2011 23:00;330
16.11.2011 23:00;350
17.11.2011 23:00;350
18.11.2011 23:00;350
19.11.2011 23:00;350
20.11.2011 23:00;368
21.11.2011 23:00;363
22.11.2011 23:00;363
23.11.2011 23:00;363
24.11.2011 23:00;363
25.11.2011 23:00;363
26.11.2011 23:00;363
27.11.2011 23:00;335
28.11.2011 23:00;335
29.11.2011 23:00;335
30.11.2011 23:00;335
01.12.2011 23:00;335
02.12.2011 23:00;335
03.12.2011 23:00;335
04.12.2011 23:00;327
05.12.2011 23:00;317
06.12.2011 23:00;317
07.12.2011 23:00;319
08.12.2011 23:00;319
09.12.2011 23:00;319
10.12.2011 23:00;319
11.12.2011 23:00;330
12.12.2011 23:00;330
13.12.2011 23:00;330
14.12.2011 23:00;320
15.12.2011 23:00;320
16.12.2011 23:00;320
17.12.2011 23:00;320
18.12.2011 23:00;298
19.12.2011 23:00;287
20.12.2011 23:00;287
21.12.2011 23:00;287
22.12.2011 23:00;287
23.12.2011 23:00;287
24.12.2011 23:00;287
25.12.2011 23:00;287
26.12.2011 23:00;293
27.12.2011 23:00;293
28.12.2011 23:00;304
29.12.2011 23:00;304
30.12.2011 23:00;304
31.12.2011 23:00;304
01.01.2012 23:00;290
02.01.2012 23:00;280
03.01.2012 23:00;280
04.01.2012 23:00;280
05.01.2012 23:00;280
06.01.2012 23:00;280
07.01.2012 23:00;280
08.01.2012 23:00;300
09.01.2012 23:00;300
10.01.2012 23:00;300
11.01.2012 23:00;310
12.01.2012 23:00;310
13.01.2012 23:00;310
14.01.2012 23:00;310
15.01.2012 23:00;320
16.01.2012 23:00;316
17.01.2012 23:00;316
18.01.2012 23:00;316
19.01.2012 23:00;316
20.01.2012 23:00;316
21.01.2012 23:00;316
22.01.2012 23:00;313
23.01.2012 23:00;308
24.01.2012 23:00;308
25.01.2012 23:00;316
26.01.2012 23:00;316
27.01.2012 23:00;316
28.01.2012 23:00;316
29.01.2012 23:00;320
30.01.2012 23:00;325
31.01.2012 23:00;325
01.02.2012 23:00;325
02.02.2012 23:00;325
03.02.2012 23:00;325
04.02.2012 23:00;325
05.02.2012 23:00;369
06.02.2012 23:00;360
07.02.2012 23:00;360
08.02.2012 23:00;384
09.02.2012 23:00;384
10.02.2012 23:00;384
11.02.2012 23:00;384
12.02.2012 23:00;333
13.02.2012 23:00;333
14.02.2012 23:00;324
15.02.2012 23:00;324
16.02.2012 23:00;324
17.02.2012 23:00;324
18.02.2012 23:00;324
19.02.2012 23:00;308
20.02.2012 23:00;308
21.02.2012 23:00;290
22.02.2012 23:00;285
23.02.2012 23:00;285
24.02.2012 23:00;285
25.02.2012 23:00;285
26.02.2012 23:00;295
27.02.2012 23:00;300
28.02.2012 23:00;300
29.02.2012 23:00;280
01.03.2012 23:00;280
02.03.2012 23:00;280
03.03.2012 23:00;280
04.03.2012 23:00;250
05.03.2012 23:00;250
06.03.2012 23:00;250
07.03.2012 23:00;230
08.03.2012 23:00;230
09.03.2012 23:00;230
10.03.2012 23:00;230
11.03.2012 23:00;210
12.03.2012 23:00;200
