Generert fra Tidsserie;;
;;
;;
;;
;;
;;
;;
;"/ORMSETFOSS/Va
nnstand/MOH/TS
LU/OBS/OPER/T/BUAVATNET_TY1000_BE0102_A
[Meter]";"/ORMSETFOSS/Va
nnstand/MOH/TS
LU/OBS/OPER/T/ORMSETVATN_TY1000_BE0102_A
[Meter]"
28/10/2011 20;328.68;386.89
28/10/2011 21;328.68;386.89
28/10/2011 22;328.70;386.89
28/10/2011 23;328.73;386.87
28/10/2011 24;328.75;386.87
29/10/2011 01;328.75;386.87
29/10/2011 02;328.63;386.87
29/10/2011 03;328.52;386.87
29/10/2011 04;328.42;386.87
29/10/2011 05;328.31;386.87
29/10/2011 06;328.33;386.87
29/10/2011 07;328.33;386.87
29/10/2011 08;328.34;386.87
29/10/2011 09;328.36;386.87
29/10/2011 10;328.38;386.87
29/10/2011 11;328.39;386.85
29/10/2011 12;328.39;386.85
29/10/2011 13;328.42;386.85
29/10/2011 14;328.43;386.85
29/10/2011 15;328.43;386.82
29/10/2011 16;328.46;386.82
29/10/2011 17;328.46;386.80
29/10/2011 18;328.48;386.80
29/10/2011 19;328.48;386.80
29/10/2011 20;328.50;386.80
29/10/2011 21;328.52;386.78
29/10/2011 22;328.52;386.78
29/10/2011 23;328.55;386.75
29/10/2011 24;328.56;386.75
30/10/2011 01;328.57;386.77
30/10/2011 02;328.47;386.79
30/10/2011 03;328.36;386.79
30/10/2011 04;328.26;386.77
30/10/2011 05;328.14;386.80
30/10/2011 06;328.10;386.80
30/10/2011 07;328.05;386.80
30/10/2011 08;328.06;386.80
30/10/2011 09;328.08;386.80
30/10/2011 10;328.08;386.80
30/10/2011 11;328.12;386.80
30/10/2011 12;328.12;386.77
30/10/2011 13;328.15;386.77
30/10/2011 14;328.15;386.77
30/10/2011 15;328.18;386.77
30/10/2011 16;328.19;386.77
30/10/2011 17;328.21;386.77
30/10/2011 18;328.21;386.77
30/10/2011 19;328.25;386.77
30/10/2011 20;328.27;386.77
30/10/2011 21;328.31;386.77
30/10/2011 22;328.36;386.77
30/10/2011 23;328.39;386.77
30/10/2011 24;328.43;386.77
31/10/2011 01;328.39;386.77
31/10/2011 02;328.36;386.77
31/10/2011 03;328.31;386.77
31/10/2011 04;328.27;386.80
31/10/2011 05;328.23;386.80
31/10/2011 06;328.19;386.80
31/10/2011 07;328.22;386.80
31/10/2011 08;328.25;386.80
31/10/2011 09;328.29;386.80
31/10/2011 10;328.33;386.80
31/10/2011 11;328.37;386.80
31/10/2011 12;328.41;386.80
31/10/2011 13;328.45;386.80
31/10/2011 14;328.48;386.83
31/10/2011 15;328.52;386.83
31/10/2011 16;328.56;386.83
31/10/2011 17;328.59;386.83
31/10/2011 18;328.63;386.83
31/10/2011 19;328.66;386.83
31/10/2011 20;328.69;386.83
31/10/2011 21;328.75;386.83
31/10/2011 22;328.78;386.83
31/10/2011 23;328.81;386.83
31/10/2011 24;328.84;386.83
01/11/2011 01;328.86;386.83
01/11/2011 02;328.89;386.83
01/11/2011 03;328.85;386.83
01/11/2011 04;328.79;386.83
01/11/2011 05;328.71;386.83
01/11/2011 06;328.65;386.83
01/11/2011 07;328.68;386.83
01/11/2011 08;328.71;386.85
01/11/2011 09;328.75;386.85
01/11/2011 10;328.78;386.85
01/11/2011 11;328.80;386.85
01/11/2011 12;328.82;386.85
01/11/2011 13;328.85;386.85
01/11/2011 14;328.87;386.85
01/11/2011 15;328.89;386.85
01/11/2011 16;328.91;386.85
01/11/2011 17;328.93;386.85
01/11/2011 18;328.95;386.85
01/11/2011 19;328.97;386.85
01/11/2011 20;328.99;386.85
01/11/2011 21;329.01;386.85
01/11/2011 22;329.01;386.85
01/11/2011 23;329.04;386.85
01/11/2011 24;329.06;386.83
02/11/2011 01;329.08;386.83
02/11/2011 02;329.02;386.83
02/11/2011 03;328.92;386.83
02/11/2011 04;328.81;386.83
02/11/2011 05;328.69;386.83
02/11/2011 06;328.63;386.80
02/11/2011 07;328.63;386.80
02/11/2011 08;328.65;386.80
02/11/2011 09;328.66;386.80
02/11/2011 10;328.66;386.80
02/11/2011 11;328.69;386.80
02/11/2011 12;328.70;386.80
02/11/2011 13;328.74;386.80
02/11/2011 14;328.75;386.81
02/11/2011 15;328.77;386.81
02/11/2011 16;328.77;386.81
02/11/2011 17;328.79;386.81
02/11/2011 18;328.81;386.81
02/11/2011 19;328.81;386.81
02/11/2011 20;328.83;386.81
02/11/2011 21;328.83;386.81
02/11/2011 22;328.85;386.81
02/11/2011 23;328.87;386.81
02/11/2011 24;328.88;386.81
03/11/2011 01;328.88;386.81
03/11/2011 02;328.90;386.81
03/11/2011 03;328.88;386.83
03/11/2011 04;328.85;386.83
03/11/2011 05;328.83;386.83
03/11/2011 06;328.83;386.83
03/11/2011 07;328.85;386.83
03/11/2011 08;328.85;386.83
03/11/2011 09;328.87;386.83
03/11/2011 10;328.88;386.83
03/11/2011 11;328.89;386.83
03/11/2011 12;328.90;386.83
03/11/2011 13;328.90;386.83
03/11/2011 14;328.92;386.83
03/11/2011 15;328.92;386.83
03/11/2011 16;328.92;386.83
03/11/2011 17;328.94;386.83
03/11/2011 18;328.94;386.83
03/11/2011 19;328.96;386.83
03/11/2011 20;328.97;386.83
03/11/2011 21;328.97;386.83
03/11/2011 22;328.99;386.83
03/11/2011 23;328.99;386.83
03/11/2011 24;328.99;386.83
04/11/2011 01;329.01;386.83
04/11/2011 02;328.95;386.83
04/11/2011 03;328.88;386.85
04/11/2011 04;328.83;386.85
04/11/2011 05;328.83;386.85
04/11/2011 06;328.83;386.85
04/11/2011 07;328.85;386.85
04/11/2011 08;328.85;386.85
04/11/2011 09;328.86;386.85
04/11/2011 10;328.87;386.85
04/11/2011 11;328.88;386.85
04/11/2011 12;328.88;386.85
04/11/2011 13;328.89;386.86
04/11/2011 14;328.90;386.86
04/11/2011 15;328.90;386.86
04/11/2011 16;328.90;386.86
04/11/2011 17;328.92;386.86
04/11/2011 18;328.92;386.86
04/11/2011 19;328.92;386.86
04/11/2011 20;328.94;386.86
04/11/2011 21;328.94;386.86
04/11/2011 22;328.94;386.86
04/11/2011 23;328.96;386.86
04/11/2011 24;328.97;386.86
05/11/2011 01;328.97;386.86
05/11/2011 02;328.97;386.86
05/11/2011 03;328.99;386.86
05/11/2011 04;328.99;386.86
05/11/2011 05;328.99;386.86
05/11/2011 06;328.99;386.86
05/11/2011 07;329.01;386.86
05/11/2011 08;329.01;386.86
05/11/2011 09;329.01;386.86
05/11/2011 10;329.03;386.86
05/11/2011 11;329.03;386.86
05/11/2011 12;329.03;386.86
05/11/2011 13;329.05;386.86
05/11/2011 14;329.05;386.86
05/11/2011 15;329.05;386.86
05/11/2011 16;329.07;386.86
05/11/2011 17;329.07;386.86
05/11/2011 18;329.08;386.86
05/11/2011 19;329.08;386.86
05/11/2011 20;329.08;386.86
05/11/2011 21;329.08;386.86
05/11/2011 22;329.10;386.86
05/11/2011 23;329.10;386.86
05/11/2011 24;329.10;386.86
06/11/2011 01;329.12;386.86
06/11/2011 02;329.12;386.86
06/11/2011 03;329.12;386.86
06/11/2011 04;329.11;386.89
06/11/2011 05;329.07;386.89
06/11/2011 06;329.01;386.85
06/11/2011 07;328.99;386.89
06/11/2011 08;328.99;386.89
06/11/2011 09;328.99;386.89
06/11/2011 10;329.01;386.89
06/11/2011 11;329.01;386.89
06/11/2011 12;329.01;386.89
06/11/2011 13;329.01;386.89
06/11/2011 14;329.03;386.89
06/11/2011 15;329.03;386.89
06/11/2011 16;329.03;386.89
06/11/2011 17;329.05;386.89
06/11/2011 18;329.05;386.89
06/11/2011 19;329.05;386.89
06/11/2011 20;329.07;386.89
06/11/2011 21;329.08;386.89
06/11/2011 22;329.08;386.89
06/11/2011 23;329.08;386.89
06/11/2011 24;329.10;386.89
07/11/2011 01;329.10;386.89
07/11/2011 02;329.10;386.89
07/11/2011 03;329.04;386.92
07/11/2011 04;328.96;386.92
07/11/2011 05;328.91;386.92
07/11/2011 06;328.91;386.92
07/11/2011 07;328.91;386.92
07/11/2011 08;328.92;386.92
07/11/2011 09;328.93;386.91
07/11/2011 10;328.93;386.91
07/11/2011 11;328.94;386.93
07/11/2011 12;328.94;386.93
07/11/2011 13;328.96;386.93
07/11/2011 14;328.97;386.93
07/11/2011 15;328.97;386.93
07/11/2011 16;329.00;386.93
07/11/2011 17;329.02;386.93
07/11/2011 18;329.05;386.95
07/11/2011 19;329.08;386.95
07/11/2011 20;329.11;386.95
07/11/2011 21;329.17;386.97
07/11/2011 22;329.22;386.97
07/11/2011 23;329.28;386.97
07/11/2011 24;329.34;386.97
08/11/2011 01;329.40;387.01
08/11/2011 02;329.38;387.01
08/11/2011 03;329.31;387.03
08/11/2011 04;329.26;387.03
08/11/2011 05;329.20;387.03
08/11/2011 06;329.17;387.05
08/11/2011 07;329.19;387.05
08/11/2011 08;329.22;387.05
08/11/2011 09;329.26;387.06
08/11/2011 10;329.30;387.06
08/11/2011 11;329.34;387.06
08/11/2011 12;329.36;387.06
08/11/2011 13;329.38;387.06
08/11/2011 14;329.41;387.06
08/11/2011 15;329.44;387.06
08/11/2011 16;329.46;387.06
08/11/2011 17;329.49;387.06
08/11/2011 18;329.51;387.06
08/11/2011 19;329.53;387.06
08/11/2011 20;329.55;387.06
08/11/2011 21;329.57;387.06
08/11/2011 22;329.59;387.06
08/11/2011 23;329.61;387.09
08/11/2011 24;329.63;387.09
09/11/2011 01;329.63;387.09
09/11/2011 02;329.63;387.09
09/11/2011 03;329.57;387.09
09/11/2011 04;329.51;387.09
09/11/2011 05;329.45;387.09
09/11/2011 06;329.38;387.11
09/11/2011 07;329.36;387.11
09/11/2011 08;329.38;387.11
09/11/2011 09;329.39;387.11
09/11/2011 10;329.39;387.11
09/11/2011 11;329.41;387.11
09/11/2011 12;329.43;387.11
09/11/2011 13;329.43;387.11
09/11/2011 14;329.45;387.11
09/11/2011 15;329.46;387.12
09/11/2011 16;329.48;387.12
09/11/2011 17;329.48;387.12
09/11/2011 18;329.50;387.12
09/11/2011 19;329.50;387.12
09/11/2011 20;329.52;387.12
09/11/2011 21;329.54;387.12
09/11/2011 22;329.54;387.12
09/11/2011 23;329.56;387.12
09/11/2011 24;329.56;387.12
10/11/2011 01;329.58;387.12
10/11/2011 02;329.59;387.12
10/11/2011 03;329.59;387.12
10/11/2011 04;329.61;387.12
10/11/2011 05;329.61;387.12
10/11/2011 06;329.63;387.12
10/11/2011 07;329.63;387.12
10/11/2011 08;329.65;387.12
10/11/2011 09;329.65;387.12
10/11/2011 10;329.67;387.12
10/11/2011 11;329.67;387.12
10/11/2011 12;329.69;387.12
10/11/2011 13;329.69;387.14
10/11/2011 14;329.70;387.14
10/11/2011 15;329.70;387.14
10/11/2011 16;329.72;387.14
10/11/2011 17;329.72;387.14
10/11/2011 18;329.72;387.14
10/11/2011 19;329.74;387.14
10/11/2011 20;329.74;387.14
10/11/2011 21;329.76;387.14
10/11/2011 22;329.76;387.14
10/11/2011 23;329.76;387.14
10/11/2011 24;329.78;387.14
11/11/2011 01;329.79;387.14
11/11/2011 02;329.79;387.14
11/11/2011 03;329.79;387.14
11/11/2011 04;329.81;387.14
11/11/2011 05;329.81;387.14
11/11/2011 06;329.81;387.14
11/11/2011 07;329.83;387.14
11/11/2011 08;329.83;387.14
11/11/2011 09;329.83;387.14
11/11/2011 10;329.85;387.15
11/11/2011 11;329.85;387.15
11/11/2011 12;329.85;387.12
11/11/2011 13;329.87;387.12
11/11/2011 14;329.87;387.12
11/11/2011 15;329.88;387.12
11/11/2011 16;329.89;387.12
11/11/2011 17;329.89;387.12
11/11/2011 18;329.90;387.12
11/11/2011 19;329.90;387.12
11/11/2011 20;329.90;387.12
11/11/2011 21;329.90;387.12
11/11/2011 22;329.92;387.12
11/11/2011 23;329.92;387.12
11/11/2011 24;329.92;387.12
12/11/2011 01;329.86;387.12
12/11/2011 02;329.78;387.12
12/11/2011 03;329.71;387.12
12/11/2011 04;329.64;387.14
12/11/2011 05;329.57;387.14
12/11/2011 06;329.49;387.12
12/11/2011 07;329.49;387.14
12/11/2011 08;329.49;387.14
12/11/2011 09;329.50;387.14
12/11/2011 10;329.50;387.14
12/11/2011 11;329.50;387.12
12/11/2011 12;329.50;387.12
12/11/2011 13;329.52;387.12
12/11/2011 14;329.52;387.09
12/11/2011 15;329.52;387.09
12/11/2011 16;329.52;387.07
12/11/2011 17;329.54;387.07
12/11/2011 18;329.54;387.04
12/11/2011 19;329.54;387.04
12/11/2011 20;329.56;387.04
12/11/2011 21;329.56;387.04
12/11/2011 22;329.56;387.04
12/11/2011 23;329.56;387.04
12/11/2011 24;329.56;387.04
13/11/2011 01;329.58;387.04
13/11/2011 02;329.58;387.04
13/11/2011 03;329.58;387.04
13/11/2011 04;329.59;387.04
13/11/2011 05;329.59;387.04
13/11/2011 06;329.59;387.04
13/11/2011 07;329.61;387.04
13/11/2011 08;329.61;387.04
13/11/2011 09;329.61;387.04
13/11/2011 10;329.63;387.04
13/11/2011 11;329.63;387.04
13/11/2011 12;329.63;387.04
13/11/2011 13;329.65;387.04
13/11/2011 14;329.65;387.04
13/11/2011 15;329.65;387.04
13/11/2011 16;329.68;387.04
13/11/2011 17;329.69;387.04
13/11/2011 18;329.69;387.04
13/11/2011 19;329.70;387.04
13/11/2011 20;329.72;387.04
13/11/2011 21;329.72;387.04
13/11/2011 22;329.74;387.07
13/11/2011 23;329.76;387.07
13/11/2011 24;329.78;387.07
14/11/2011 01;329.76;387.09
14/11/2011 02;329.68;387.09
14/11/2011 03;329.61;387.12
14/11/2011 04;329.54;387.12
14/11/2011 05;329.48;387.15
14/11/2011 06;329.43;387.18
14/11/2011 07;329.46;387.18
14/11/2011 08;329.47;387.20
14/11/2011 09;329.54;387.20
14/11/2011 10;329.53;387.21
14/11/2011 11;329.55;387.24
14/11/2011 12;329.55;387.24
14/11/2011 13;329.53;387.26
14/11/2011 14;329.53;387.24
14/11/2011 15;329.51;387.29
14/11/2011 16;329.52;387.29
14/11/2011 17;329.50;387.29
14/11/2011 18;329.49;387.31
14/11/2011 19;329.46;387.31
14/11/2011 20;329.46;387.31
14/11/2011 21;329.43;387.33
14/11/2011 22;329.41;387.33
14/11/2011 23;329.38;387.35
14/11/2011 24;329.35;387.35
15/11/2011 01;329.33;387.35
15/11/2011 02;329.25;387.35
15/11/2011 03;329.20;387.35
15/11/2011 04;329.13;387.35
15/11/2011 05;329.07;387.35
15/11/2011 06;329.00;387.35
15/11/2011 07;328.93;387.37
15/11/2011 08;328.86;387.37
15/11/2011 09;328.79;387.37
15/11/2011 10;328.81;387.37
15/11/2011 11;328.84;387.37
15/11/2011 12;328.88;387.40
15/11/2011 13;328.92;387.40
15/11/2011 14;328.96;387.40
15/11/2011 15;329.00;387.40
15/11/2011 16;329.04;387.40
15/11/2011 17;329.07;387.40
15/11/2011 18;329.10;387.40
15/11/2011 19;329.13;387.40
15/11/2011 20;329.16;387.40
15/11/2011 21;329.19;387.40
15/11/2011 22;329.21;387.40
15/11/2011 23;329.24;387.40
15/11/2011 24;329.26;387.37
16/11/2011 01;329.26;387.37
16/11/2011 02;329.16;387.37
16/11/2011 03;329.07;387.35
16/11/2011 04;328.97;387.37
16/11/2011 05;328.87;387.35
16/11/2011 06;328.79;387.35
16/11/2011 07;328.75;387.35
16/11/2011 08;328.71;387.35
16/11/2011 09;328.69;387.34
16/11/2011 10;328.67;387.34
16/11/2011 11;328.65;387.34
16/11/2011 12;328.62;387.37
16/11/2011 13;328.60;387.35
16/11/2011 14;328.58;387.35
16/11/2011 15;328.55;387.37
16/11/2011 16;328.53;387.37
16/11/2011 17;328.50;387.40
16/11/2011 18;328.48;387.40
16/11/2011 19;328.45;387.37
16/11/2011 20;328.43;387.37
16/11/2011 21;328.40;387.40
16/11/2011 22;328.37;387.37
16/11/2011 23;328.35;387.37
16/11/2011 24;328.32;387.37
17/11/2011 01;328.30;387.35
17/11/2011 02;328.27;387.37
17/11/2011 03;328.24;387.35
17/11/2011 04;328.22;387.35
17/11/2011 05;328.19;387.33
17/11/2011 06;328.19;387.33
17/11/2011 07;328.19;387.33
17/11/2011 08;328.19;387.33
17/11/2011 09;328.22;387.33
17/11/2011 10;328.23;387.33
17/11/2011 11;328.23;387.33
17/11/2011 12;328.26;387.33
17/11/2011 13;328.27;387.33
17/11/2011 14;328.28;387.33
17/11/2011 15;328.30;387.33
17/11/2011 16;328.31;387.33
17/11/2011 17;328.32;387.33
17/11/2011 18;328.34;387.33
17/11/2011 19;328.34;387.33
17/11/2011 20;328.36;387.35
17/11/2011 21;328.37;387.33
17/11/2011 22;328.39;387.33
17/11/2011 23;328.39;387.33
17/11/2011 24;328.41;387.31
18/11/2011 01;328.41;387.31
18/11/2011 02;328.43;387.29
18/11/2011 03;328.43;387.29
18/11/2011 04;328.45;387.29
18/11/2011 05;328.46;387.26
18/11/2011 06;328.46;387.26
18/11/2011 07;328.48;387.26
18/11/2011 08;328.48;387.23
18/11/2011 09;328.51;387.24
18/11/2011 10;328.52;387.23
18/11/2011 11;328.53;387.21
18/11/2011 12;328.54;387.22
18/11/2011 13;328.54;387.22
18/11/2011 14;328.56;387.20
18/11/2011 15;328.57;387.19
18/11/2011 16;328.59;387.19
18/11/2011 17;328.59;387.19
18/11/2011 18;328.62;387.19
18/11/2011 19;328.64;387.17
18/11/2011 20;328.66;387.17
18/11/2011 21;328.69;387.17
18/11/2011 22;328.71;387.17
18/11/2011 23;328.75;387.15
18/11/2011 24;328.78;387.15
19/11/2011 01;328.80;387.12
19/11/2011 02;328.82;387.12
19/11/2011 03;328.83;387.12
19/11/2011 04;328.82;387.09
19/11/2011 05;328.82;387.09
19/11/2011 06;328.79;387.09
19/11/2011 07;328.81;387.09
19/11/2011 08;328.84;387.09
19/11/2011 09;328.87;387.09
19/11/2011 10;328.89;387.07
19/11/2011 11;328.91;387.07
19/11/2011 12;328.87;387.07
19/11/2011 13;328.81;387.07
19/11/2011 14;328.76;387.05
19/11/2011 15;328.68;387.05
19/11/2011 16;328.68;387.05
19/11/2011 17;328.71;387.05
19/11/2011 18;328.75;387.02
19/11/2011 19;328.78;387.02
19/11/2011 20;328.80;387.02
19/11/2011 21;328.82;387.00
19/11/2011 22;328.84;387.00
19/11/2011 23;328.86;387.00
19/11/2011 24;328.88;386.98
20/11/2011 01;328.90;386.98
20/11/2011 02;328.92;386.98
20/11/2011 03;328.87;386.98
20/11/2011 04;328.80;386.98
20/11/2011 05;328.74;386.98
20/11/2011 06;328.67;386.98
20/11/2011 07;328.64;386.98
20/11/2011 08;328.64;386.98
20/11/2011 09;328.62;386.96
20/11/2011 10;328.62;386.96
20/11/2011 11;328.62;386.96
20/11/2011 12;328.63;386.96
20/11/2011 13;328.63;386.96
20/11/2011 14;328.63;386.96
20/11/2011 15;328.66;386.96
20/11/2011 16;328.68;386.96
20/11/2011 17;328.68;386.96
20/11/2011 18;328.70;386.96
20/11/2011 19;328.73;386.93
20/11/2011 20;328.74;386.93
20/11/2011 21;328.74;386.93
20/11/2011 22;328.76;386.93
20/11/2011 23;328.77;386.93
20/11/2011 24;328.77;386.93
21/11/2011 01;328.79;386.93
21/11/2011 02;328.79;386.93
21/11/2011 03;328.71;386.93
21/11/2011 04;328.64;386.93
21/11/2011 05;328.56;386.96
21/11/2011 06;328.49;386.96
21/11/2011 07;328.47;386.98
21/11/2011 08;328.52;386.98
21/11/2011 09;328.57;386.98
21/11/2011 10;328.60;386.98
21/11/2011 11;328.64;386.99
21/11/2011 12;328.68;386.99
21/11/2011 13;328.73;386.99
21/11/2011 14;328.76;387.00
21/11/2011 15;328.80;387.00
21/11/2011 16;328.83;387.00
21/11/2011 17;328.86;387.00
21/11/2011 18;328.89;387.00
21/11/2011 19;328.92;387.00
21/11/2011 20;328.95;387.00
21/11/2011 21;328.97;387.00
21/11/2011 22;329.00;387.00
21/11/2011 23;329.03;387.00
21/11/2011 24;329.05;387.00
22/11/2011 01;329.07;387.00
22/11/2011 02;329.10;387.00
22/11/2011 03;329.02;387.02
22/11/2011 04;328.92;387.02
22/11/2011 05;328.82;387.02
22/11/2011 06;328.83;387.02
22/11/2011 07;328.85;387.02
22/11/2011 08;328.85;387.02
22/11/2011 09;328.88;387.02
22/11/2011 10;328.90;387.04
22/11/2011 11;328.90;387.04
22/11/2011 12;328.93;387.04
22/11/2011 13;328.95;387.04
22/11/2011 14;328.97;387.04
22/11/2011 15;328.97;387.04
22/11/2011 16;329.00;387.04
22/11/2011 17;329.02;387.04
22/11/2011 18;329.03;387.04
22/11/2011 19;329.03;387.04
22/11/2011 20;329.06;387.04
22/11/2011 21;329.07;387.04
22/11/2011 22;329.09;387.04
22/11/2011 23;329.10;387.04
22/11/2011 24;329.12;387.04
23/11/2011 01;329.12;387.04
23/11/2011 02;329.14;387.04
23/11/2011 03;329.13;387.06
23/11/2011 04;329.03;387.06
23/11/2011 05;328.92;387.06
23/11/2011 06;328.82;387.09
23/11/2011 07;328.82;387.09
23/11/2011 08;328.83;387.07
23/11/2011 09;328.83;387.07
23/11/2011 10;328.86;387.07
23/11/2011 11;328.87;387.07
23/11/2011 12;328.88;387.07
23/11/2011 13;328.89;387.07
23/11/2011 14;328.90;387.07
23/11/2011 15;328.90;387.07
23/11/2011 16;328.92;387.07
23/11/2011 17;328.92;387.07
23/11/2011 18;328.95;387.07
23/11/2011 19;328.96;387.07
23/11/2011 20;328.96;387.07
23/11/2011 21;328.97;387.09
23/11/2011 22;328.99;387.09
23/11/2011 23;329.01;387.09
23/11/2011 24;329.01;387.09
24/11/2011 01;329.05;387.09
24/11/2011 02;329.05;387.09
24/11/2011 03;329.05;387.09
24/11/2011 04;328.98;387.12
24/11/2011 05;328.93;387.12
24/11/2011 06;328.87;387.12
24/11/2011 07;328.88;387.12
24/11/2011 08;328.90;387.12
24/11/2011 09;328.93;387.12
24/11/2011 10;328.96;387.15
24/11/2011 11;328.98;387.15
24/11/2011 12;329.02;387.15
24/11/2011 13;329.05;387.15
24/11/2011 14;329.08;387.15
24/11/2011 15;329.07;387.15
24/11/2011 16;329.06;387.15
24/11/2011 17;329.06;387.18
24/11/2011 18;329.06;387.18
24/11/2011 19;329.04;387.18
24/11/2011 20;329.04;387.18
24/11/2011 21;329.04;387.18
24/11/2011 22;329.02;387.18
24/11/2011 23;329.02;387.18
24/11/2011 24;329.00;387.20
25/11/2011 01;329.00;387.20
25/11/2011 02;328.98;387.20
25/11/2011 03;328.93;387.20
25/11/2011 04;328.87;387.22
25/11/2011 05;328.82;387.22
25/11/2011 06;328.77;387.22
25/11/2011 07;328.77;387.22
25/11/2011 08;328.80;387.22
25/11/2011 09;328.84;387.22
25/11/2011 10;328.87;387.24
25/11/2011 11;328.93;387.23
25/11/2011 12;328.97;387.23
25/11/2011 13;329.02;387.23
25/11/2011 14;329.02;387.23
25/11/2011 15;328.99;387.25
25/11/2011 16;329.02;387.25
25/11/2011 17;329.06;387.25
25/11/2011 18;329.10;387.27
25/11/2011 19;329.14;387.24
25/11/2011 20;329.17;387.27
25/11/2011 21;329.21;387.27
25/11/2011 22;329.24;387.27
25/11/2011 23;329.27;387.27
25/11/2011 24;329.30;387.27
26/11/2011 01;329.32;387.27
26/11/2011 02;329.36;387.27
26/11/2011 03;329.38;387.27
26/11/2011 04;329.37;387.27
26/11/2011 05;329.30;387.29
26/11/2011 06;329.22;387.29
26/11/2011 07;329.13;387.29
26/11/2011 08;329.06;387.33
26/11/2011 09;328.97;387.31
26/11/2011 10;328.87;387.31
26/11/2011 11;328.78;387.33
26/11/2011 12;328.68;387.37
26/11/2011 13;328.58;387.40
26/11/2011 14;328.49;387.40
26/11/2011 15;328.47;387.37
26/11/2011 16;328.50;387.37
26/11/2011 17;328.53;387.37
26/11/2011 18;328.55;387.37
26/11/2011 19;328.57;387.37
26/11/2011 20;328.59;387.37
26/11/2011 21;328.61;387.37
26/11/2011 22;328.64;387.37
26/11/2011 23;328.66;387.37
26/11/2011 24;328.68;387.37
27/11/2011 01;328.70;387.37
27/11/2011 02;328.64;387.37
27/11/2011 03;328.56;387.37
27/11/2011 04;328.46;387.40
27/11/2011 05;328.38;387.40
27/11/2011 06;328.32;387.40
27/11/2011 07;328.26;387.40
27/11/2011 08;328.23;387.44
27/11/2011 09;328.23;387.42
27/11/2011 10;328.27;387.42
27/11/2011 11;328.28;387.42
27/11/2011 12;328.30;387.42
27/11/2011 13;328.30;387.42
27/11/2011 14;328.33;387.42
27/11/2011 15;328.34;387.42
27/11/2011 16;328.36;387.42
27/11/2011 17;328.37;387.42
27/11/2011 18;328.39;387.42
27/11/2011 19;328.41;387.44
27/11/2011 20;328.41;387.44
27/11/2011 21;328.44;387.44
27/11/2011 22;328.45;387.44
27/11/2011 23;328.46;387.44
27/11/2011 24;328.46;387.44
28/11/2011 01;328.49;387.44
28/11/2011 02;328.43;387.47
28/11/2011 03;328.35;387.44
28/11/2011 04;328.28;387.44
28/11/2011 05;328.21;387.46
28/11/2011 06;328.15;387.44
28/11/2011 07;328.10;387.49
28/11/2011 08;328.09;387.46
28/11/2011 09;328.11;387.46
28/11/2011 10;328.13;387.46
28/11/2011 11;328.13;387.44
28/11/2011 12;328.14;387.44
28/11/2011 13;328.15;387.44
28/11/2011 14;328.15;387.44
28/11/2011 15;328.17;387.44
28/11/2011 16;328.17;387.44
28/11/2011 17;328.20;387.44
28/11/2011 18;328.21;387.46
28/11/2011 19;328.21;387.46
28/11/2011 20;328.23;387.46
28/11/2011 21;328.23;387.46
28/11/2011 22;328.25;387.46
28/11/2011 23;328.26;387.46
28/11/2011 24;328.26;387.46
29/11/2011 01;328.28;387.46
29/11/2011 02;328.21;387.46
29/11/2011 03;328.14;387.46
29/11/2011 04;328.03;387.46
29/11/2011 05;327.95;387.48
29/11/2011 06;327.87;387.45
29/11/2011 07;327.91;387.48
29/11/2011 08;327.91;387.48
29/11/2011 09;327.92;387.48
29/11/2011 10;327.94;387.46
29/11/2011 11;327.94;387.46
29/11/2011 12;327.95;387.44
29/11/2011 13;327.95;387.44
29/11/2011 14;327.97;387.44
29/11/2011 15;327.97;387.42
29/11/2011 16;327.99;387.42
29/11/2011 17;328.01;387.42
29/11/2011 18;328.01;387.40
29/11/2011 19;328.03;387.40
29/11/2011 20;328.05;387.37
29/11/2011 21;328.06;387.37
29/11/2011 22;328.09;387.37
29/11/2011 23;328.11;387.37
29/11/2011 24;328.13;387.37
30/11/2011 01;328.16;387.35
30/11/2011 02;328.11;387.35
30/11/2011 03;328.07;387.40
30/11/2011 04;328.02;387.40
30/11/2011 05;327.99;387.40
30/11/2011 06;327.97;387.40
30/11/2011 07;327.94;387.42
30/11/2011 08;327.99;387.42
30/11/2011 09;328.04;387.42
30/11/2011 10;328.08;387.42
30/11/2011 11;328.14;387.40
30/11/2011 12;328.18;387.40
30/11/2011 13;328.22;387.40
30/11/2011 14;328.26;387.37
30/11/2011 15;328.30;387.37
30/11/2011 16;328.34;387.35
30/11/2011 17;328.36;387.35
30/11/2011 18;328.40;387.35
30/11/2011 19;328.43;387.33
30/11/2011 20;328.45;387.33
30/11/2011 21;328.48;387.33
30/11/2011 22;328.51;387.33
30/11/2011 23;328.53;387.33
30/11/2011 24;328.56;387.31
01/12/2011 01;328.58;387.33
01/12/2011 02;328.61;387.33
01/12/2011 03;328.63;387.31
01/12/2011 04;328.65;387.31
01/12/2011 05;328.67;387.33
01/12/2011 06;328.69;387.31
01/12/2011 07;328.73;387.33
01/12/2011 08;328.76;387.31
01/12/2011 09;328.78;387.31
01/12/2011 10;328.80;387.31
01/12/2011 11;328.82;387.31
01/12/2011 12;328.83;387.31
01/12/2011 13;328.85;387.26
01/12/2011 14;328.88;387.26
01/12/2011 15;328.88;387.26
01/12/2011 16;328.91;387.29
